Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Internal standard peak area,Sample mass
NIA sediment grp F sample 2,Sample,Field,Sediment,NIA,PFHxA,0,2151.548,1.0034
NIA sediment grp F spike,Spike,Lab,Sediment,NIA,PFHxA,7714.486,1285.167,1
NIA sediment grp D lab blank,Blank,Lab,Sediment,NIA,PFHxA,0,1426.532,1
NIA sediment grp D field blank,Blank,Field,Sediment,NIA,PFHxA,0,1848.561,1.0001
NIA sediment grp D sample 1,Sample,Field,Sediment,NIA,PFHxA,0,2497.51,1.06
NIA sediment grp D sample 2,Sample,Field,Sediment,NIA,PFHxA,0,1703.796,1.004
NIA sediment grp D spike,Spike,Lab,Sediment,NIA,PFHxA,5270.531,747.876,1
NIA sediment grp E blank,Blank,Lab,Sediment,NIA,PFHxA,0,1560.717,1
NIA sediment grp E sample 1,Sample,Field,Sediment,NIA,PFHxA,0,1952.042,1.0002
NIA sediment grp E sample 2,Sample,Field,Sediment,NIA,PFHxA,0,3334.076,1.0105
NIA sediment grp E spike,Spike,Lab,Sediment,NIA,PFHxA,6238.919,1137.525,1
MeOH Blank,Blank,Lab,N/A,NIA,PFHxA,0,0,1
NIA biota grp D shrimp blank,Blank,Homogenizer,Biota,NIA,PFHxA,0,1220.445,1
NIA biota grp D shrimp sample 1,Sample,Homogenizer,Biota,NIA,PFHxA,0,1539.548,0.7678
NIA biota grp D shrimp sample 2,Sample,Homogenizer,Biota,NIA,PFHxA,0,1452.699,0.8816
NIA biota grp D shrimp sample 3,Sample,Homogenizer,Biota,NIA,PFHxA,0,1508.417,0.8801
NIA biota grp D shrimp spike,Spike,Homogenizer,Biota,NIA,PFHxA,7325.972,1153.397,1
NIA biota grp E shrimp blank,Blank,Homogenizer,Biota,NIA,PFHxA,0,1560.263,1
NIA biota grp E shrimp sample,Sample,Homogenizer,Biota,NIA,PFHxA,0,2714.011,0.6702
NIA biota grp E shrimp spike,Spike,Homogenizer,Biota,NIA,PFHxA,5547.649,12047.143,1
NIA biota grp D snail 20x,Sample,Pestle,Biota,NIA,PFHxA,181.597,981.534,0.5
NIA biota grp E crayfish blank,Blank,Pestle,Biota,NIA,PFHxA,0,1113.819,1
NIA biota grp E crayfish sample,Sample,Pestle,Biota,NIA,PFHxA,0,1285.843,0.5353
NIA biota grp E crayfish spike,Spike,Pestle,Biota,NIA,PFHxA,6939.455,957.681,1
NIA biota grp D sunfish blank 1,Blank,Blender,Biota,NIA,PFHxA,0,604.084,1
NIA biota grp D sunfish blank 2,Blank,Blender,Biota,NIA,PFHxA,191.509,1068.642,1
NIA biota grp D sunfish Cici sample 1 20x,Sample,Blender,Biota,NIA,PFHxA,0,804.164,0.9413
NIA biota grp D sunfish Cici sample 2 20x,Sample,Blender,Biota,NIA,PFHxA,65.181,1308.677,0.6954
NIA biota grp D sunfish spike,Spike,Blender,Biota,NIA,PFHxA,5532.583,1268.689,1
NIA biota grp D sunfish Sophie sample 1 20x,Sample,Blender,Biota,NIA,PFHxA,109.773,1445.205,0.8905
NIA biota grp D sunfish Sophie sample 2 20x,Sample,Blender,Biota,NIA,PFHxA,217.514,1043.573,0.5997
NIA biota grp D sunfish Sophie sample 3 20x,Sample,Blender,Biota,NIA,PFHxA,0,1079.253,0.2789
NIA biota grp F catfish blank,Blank,Blender,Biota,NIA,PFHxA,196.18,1254.365,1
NIA biota grp F catfish sample 20x,Sample,Blender,Biota,NIA,PFHxA,0,1093.901,0.5925
NIA biota grp F catfish spike,Spike,Blender,Biota,NIA,PFHxA,5962.608,1285.308,1
NIA biota grp F bug blank,Blank,Homogenizer,Biota,NIA,PFHxA,0,1411.871,1
NIA biota grp F bug sample,Sample,Homogenizer,Biota,NIA,PFHxA,0,1500.414,0.5
NIA biota grp F bug spike,Spike,Homogenizer,Biota,NIA,PFHxA,9282.065,1397.891,1
NIA biota grp F shrimp blank,Blank,Homogenizer,Biota,NIA,PFHxA,94.028,1333.434,1
NIA biota grp F shrimp sample,Sample,Homogenizer,Biota,NIA,PFHxA,222.572,1627.705,1
NIA biota grp F shrimp spike,Spike,Homogenizer,Biota,NIA,PFHxA,3605.865,1456.059,1
NIA biota grp E sunfish blank,Blank,Blender,Biota,NIA,PFHxA,0,1239.436,1
NIA biota grp E sunfish sample 20x,Sample,Blender,Biota,NIA,PFHxA,244.278,1557.42,0.7384
NIA biota grp E sunfish spike,Spike,Blender,Biota,NIA,PFHxA,5948.341,1760.893,1
NIA biota grp D sunfish sample 20x,Sample,Blender,Biota,NIA,PFHxA,0,1205.287,0.8926
MeOH Blank,Blank,Lab,N/A,20MC,PFHpA,5259.137,0,1
20MC_0 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,5100.467,13614.122,1
20MC_0.2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,2114.2,13011.8,1
20MC_0.4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,3497.565,11455.743,1
20MC_1 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,5777.014,11420.63,1
20MC_2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,10948.144,11160.996,1
20MC_4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,18244.504,10185.641,1
20MC_10 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,38473.273,9908.299,1
20MC_20 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,92066.492,10360.169,1
20MC_40 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,183621.766,9897.303,1
MeOH Blank,Blank,Lab,Sediment,20MC,PFHpA,731.267,0,1
20MC grp A sediment lab blank,Blank,Lab,Sediment,20MC,PFHpA,904.781,9289.543,1
20MC grp A sediment field blank,Blank,Field,Sediment,20MC,PFHpA,1331.06,8933.319,0.9802
20MC grp A sediment 1,Sample,Field,Sediment,20MC,PFHpA,2165.458,9414.103,0.9879
20MC grp A sediment 2,Sample,Field,Sediment,20MC,PFHpA,1491.862,8178.99,1.0431
20MC grp A sediment spike,Spike,Lab,Sediment,20MC,PFHpA,51507.941,6495.79,1
20MC grp C sediment lab blank,Blank,Lab,Sediment,20MC,PFHpA,428.369,8469.616,1
20MC grp C sediment field blank,Blank,Field,Sediment,20MC,PFHpA,692.762,7973.994,0.9912
20MC grp C sediment 1,Sample,Field,Sediment,20MC,PFHpA,867.784,7986.257,0.9854
20MC grp C sediment 2,Sample,Field,Sediment,20MC,PFHpA,515.174,5850.719,0.7808
20MC grp C sediment spike,Spike,Lab,Sediment,20MC,PFHpA,30777.443,7828.296,1
20MC grp B sediment lab blank,Blank,Lab,Sediment,20MC,PFHpA,311.473,7890.6,1
20MC grp B sediment field blank,Blank,Field,Sediment,20MC,PFHpA,308.583,7914.499,0.9912
20MC grp B sediment 1,Sample,Field,Sediment,20MC,PFHpA,1233.572,740.418,1.0204
20MC grp B sediment 2,Sample,Field,Sediment,20MC,PFHpA,845.68,7123.974,1.0815
20MC grp B sediment spike,Spike,Lab,Sediment,20MC,PFHpA,27878.654,7022.118,1
20 MC water field blank 1,Blank,Field,Water,20MC,PFHpA,337.056,6764.758,100
20 MC water field blank 2,Blank,Field,Water,20MC,PFHpA,1198.88,6473.065,100
20 MC water sample 1,Sample,Field,Water,20MC,PFHpA,979.293,6692.614,100
20 MC water sample 2,Sample,Field,Water,20MC,PFHpA,1993.603,0,100
20 MC water spike 1,Spike,Field,Water,20MC,PFHpA,32365.977,6006.894,100
MeOH Blank,Blank,Lab,N/A,20MC,PFHpA,374.195,0,1
20 MC biota grp C white bugs blank,Blank,Pestle,Biota,20MC,PFHpA,138.064,9026.2,1
20 MC biota grp C white bugs sample,Sample,Pestle,Biota,20MC,PFHpA,461.201,933.672,0.1926
20 MC biota grp C white bugs spike,Spike,Pestle,Biota,20MC,PFHpA,19677.154,6875.945,1
20 MC biota grp A hardshell bug blank,Blank,Pestle,Biota,20MC,PFHpA,266.584,6305.768,1
20 MC biota grp A hardshell bug sample,Sample,Pestle,Biota,20MC,PFHpA,128.866,5130.115,0.5197
20 MC biota grp A hardshell bug spike,Spike,Pestle,Biota,20MC,PFHpA,1376.339,5523.609,1
20 MC biota grp B nymph blank,Blank,Homogenizer,Biota,20MC,PFHpA,261.103,6021.586,1
20 MC biota grp B nymph sample,Sample,Homogenizer,Biota,20MC,PFHpA,448.867,6148.484,0.2189
20 MC biota grp B nymph spike,Spike,Homogenizer,Biota,20MC,PFHpA,8379.964,4324.804,1
20 MC biota grp B mortar and pestle blank,Blank,Pestle,Biota,20MC,PFHpA,96.481,5534.541,1
20 MC biota grp B crayfish sample,Sample,Pestle,Biota,20MC,PFHpA,470.998,5235.53,0.8061
20 MC biota grp B crayfish spike,Spike,Pestle,Biota,20MC,PFHpA,19611.611,4956.854,1
20 MC biota grp C bug blank,Blank,Pestle,Biota,20MC,PFHpA,191.016,5125.8,1
20 MC biota grp C bug sample,Sample,Pestle,Biota,20MC,PFHpA,123.15,6264.557,0.2294
20 MC biota grp C bug spike,Spike,Pestle,Biota,20MC,PFHpA,17137.207,4226.283,1
20 MC biota grp A sunfish blank,Blank,Blender,Biota,20MC,PFHpA,166.784,6156.821,1
20 MC biota grp A sunfish Johnny sample,Sample,Blender,Biota,20MC,PFHpA,452.958,5279.851,1.6406
20 MC biota grp A sunfish spike,Spike,Blender,Biota,20MC,PFHpA,28750.295,5463.454,1
20 MC biota grp C catfish blank,Blank,Blender,Biota,20MC,PFHpA,192.741,6164.27,1
20 MC biota grp C catfish blender blank,Blank,Blender,Biota,20MC,PFHpA,131.972,4727.887,1
20 MC biota grp C catfish sample 1,Sample,Blender,Biota,20MC,PFHpA,388.154,6058.139,0.9648
20 MC biota grp C catfish sample 2,Sample,Blender,Biota,20MC,PFHpA,257.521,5954.912,0.5661
20 MC biota grp C catfish sample 3,Sample,Blender,Biota,20MC,PFHpA,130.137,4739.534,0.8456
20 MC biota grp C catfish spike,Spike,Blender,Biota,20MC,PFHpA,155953.297,4868.099,1
20 MC biota grp B catfish blank,Blank,Blender,Biota,20MC,PFHpA,411.983,326.357,1
20 MC biota grp B catfish sample 2-1,Sample,Blender,Biota,20MC,PFHpA,381.56,518.053,1
20 MC biota grp B catfish sample 2-2,Sample,Blender,Biota,20MC,PFHpA,687.892,578.2,1
20 MC biota grp B catfish sample 2-3,Sample,Blender,Biota,20MC,PFHpA,416.874,693.645,1
20 MC biota grp B catfish spike,Spike,Blender,Biota,20MC,PFHpA,29551.26,120.625,1
MeOH Blank,Blank,Lab,N/A,20MC,PFHpA,92.783,0.087,1
MeOH Blank,Blank,Lab,N/A,NIA,PFHpA,92.783,0,1
NIA_0 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,0,5141.743,1
NIA_0.2 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,423.707,4675.214,1
NIA_0.4 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,899.923,5197.423,1
NIA_1 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,1918.455,4914.226,1
NIA_2 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,4816.95,4870.798,1
NIA_4 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,8130.724,5167.313,1
NIA_10 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,18855.221,4884.75,1
NIA_20 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,44177.605,5107.007,1
NIA_40 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,99417.328,5810.167,1
MeOH Blank,Blank,Lab,N/A,NIA,PFHpA,92.327,0,1
NIA water lab blank,Blank,Lab,Water,NIA,PFHpA,457.522,5221.796,100
NIA water field blank,Blank,Field,Water,NIA,PFHpA,0,4932.042,100
NIA water sample 1,Sample,Field,Water,NIA,PFHpA,2620.37,4514.235,100
NIA water sample 2,Sample,Field,Water,NIA,PFHpA,2198.775,4531.013,100
NIA water sample 3,Sample,Field,Water,NIA,PFHpA,2988.522,4832.821,100
NIA water spike 1,Spike,Field,Water,NIA,PFHpA,17144.447,4615.849,100
NIA water spike 2,Spike,Field,Water,NIA,PFHpA,17053.102,10130.294,100
NIA sediment grp F lab blank,Blank,Lab,Sediment,NIA,PFHpA,309.874,5783.376,1
NIA sediment grp F field blank,Blank,Field,Sediment,NIA,PFHpA,236.34,5652.993,1.0028
NIA sediment grp F sample 1,Sample,Field,Sediment,NIA,PFHpA,629.929,8032.464,1.087
NIA sediment grp F sample 2,Sample,Field,Sediment,NIA,PFHpA,1007.66,5222.103,1.0034
NIA sediment grp F spike,Spike,Lab,Sediment,NIA,PFHpA,17839.588,4025.021,1
NIA sediment grp D lab blank,Blank,Lab,Sediment,NIA,PFHpA,251.243,5080.57,1
NIA sediment grp D field blank,Blank,Field,Sediment,NIA,PFHpA,0,5269.115,1.0001
NIA sediment grp D sample 1,Sample,Field,Sediment,NIA,PFHpA,538.1,4455.318,1.06
NIA sediment grp D sample 2,Sample,Field,Sediment,NIA,PFHpA,0,4251.809,1.004
NIA sediment grp D spike,Spike,Lab,Sediment,NIA,PFHpA,11054.549,3946.22,1
NIA sediment grp E blank,Blank,Lab,Sediment,NIA,PFHpA,196.585,4653.625,1
NIA sediment grp E sample 1,Sample,Field,Sediment,NIA,PFHpA,337.622,3630.561,1.0002
NIA sediment grp E sample 2,Sample,Field,Sediment,NIA,PFHpA,433.377,7846.02,1.0105
NIA sediment grp E spike,Spike,Lab,Sediment,NIA,PFHpA,12757.558,4025.26,1
MeOH Blank,Blank,Lab,N/A,NIA,PFHpA,0,0,1
NIA biota grp D shrimp blank,Blank,Homogenizer,Biota,NIA,PFHpA,0,3705.264,1
NIA biota grp D shrimp sample 1,Sample,Homogenizer,Biota,NIA,PFHpA,77.856,3512.191,0.7678
NIA biota grp D shrimp sample 2,Sample,Homogenizer,Biota,NIA,PFHpA,131.076,3802.06,0.8816
NIA biota grp D shrimp sample 3,Sample,Homogenizer,Biota,NIA,PFHpA,188.857,3358.558,0.8801
NIA biota grp D shrimp spike,Spike,Homogenizer,Biota,NIA,PFHpA,13610.415,2616.346,1
NIA biota grp E shrimp blank,Blank,Homogenizer,Biota,NIA,PFHpA,117.349,3402.676,1
NIA biota grp E shrimp sample,Sample,Homogenizer,Biota,NIA,PFHpA,263.744,7362.289,0.6702
NIA biota grp E shrimp spike,Spike,Homogenizer,Biota,NIA,PFHpA,9003.117,16296.438,1
NIA biota grp D snail 20x,Sample,Pestle,Biota,NIA,PFHpA,0,2858.476,0.5
NIA biota grp E crayfish blank,Blank,Pestle,Biota,NIA,PFHpA,0,3968.079,1
NIA biota grp E crayfish sample,Sample,Pestle,Biota,NIA,PFHpA,554.637,3131.22,0.5353
NIA biota grp E crayfish spike,Spike,Pestle,Biota,NIA,PFHpA,15187.426,3360.476,1
NIA biota grp D sunfish blank 1,Blank,Blender,Biota,NIA,PFHpA,0,2752.44,1
NIA biota grp D sunfish blank 2,Blank,Blender,Biota,NIA,PFHpA,266.733,3875.417,1
NIA biota grp D sunfish Cici sample 1 20x,Sample,Blender,Biota,NIA,PFHpA,180.917,2706.542,0.9413
NIA biota grp D sunfish Cici sample 2 20x,Sample,Blender,Biota,NIA,PFHpA,147.55,3943.222,0.6954
NIA biota grp D sunfish spike,Spike,Blender,Biota,NIA,PFHpA,13338.976,4887.089,1
NIA biota grp D sunfish Sophie sample 1 20x,Sample,Blender,Biota,NIA,PFHpA,260.41,3499.489,0.8905
NIA biota grp D sunfish Sophie sample 2 20x,Sample,Blender,Biota,NIA,PFHpA,0,3424.357,0.5997
NIA biota grp D sunfish Sophie sample 3 20x,Sample,Blender,Biota,NIA,PFHpA,0,3965.218,0.2789
NIA biota grp F catfish blank,Blank,Blender,Biota,NIA,PFHpA,0,4737.181,1
NIA biota grp F catfish sample 20x,Sample,Blender,Biota,NIA,PFHpA,102.999,4582.634,0.5925
NIA biota grp F catfish spike,Spike,Blender,Biota,NIA,PFHpA,14741.218,4922.959,1
NIA biota grp F bug blank,Blank,Homogenizer,Biota,NIA,PFHpA,129.919,5602.799,1
NIA biota grp F bug sample,Sample,Homogenizer,Biota,NIA,PFHpA,596.901,4885.637,0.5
NIA biota grp F bug spike,Spike,Homogenizer,Biota,NIA,PFHpA,20205.529,5245.807,1
NIA biota grp F shrimp blank,Blank,Homogenizer,Biota,NIA,PFHpA,184.177,4535.645,1
NIA biota grp F shrimp sample,Sample,Homogenizer,Biota,NIA,PFHpA,78.839,4799.319,1
NIA biota grp F shrimp spike,Spike,Homogenizer,Biota,NIA,PFHpA,9489.428,4445.198,1
NIA biota grp E sunfish blank,Blank,Blender,Biota,NIA,PFHpA,133.367,4872.475,1
NIA biota grp E sunfish sample 20x,Sample,Blender,Biota,NIA,PFHpA,113.851,4361.58,0.7384
NIA biota grp E sunfish spike,Spike,Blender,Biota,NIA,PFHpA,17260.639,5940.654,1
NIA biota grp D sunfish sample 20x,Sample,Blender,Biota,NIA,PFHpA,168.493,4408.763,0.8926
MeOH Blank,Blank,Lab,N/A,20MC,PFHxS,73.677,0,1
20MC_0 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxS,63.152,421.866,1
20MC_0.2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxS,108.224,569.605,1
20MC_0.4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxS,204.028,674.092,1
20MC_1 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxS,558.241,591.615,1
20MC_2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxS,1218.129,507.2,1
20MC_4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxS,2422.263,727.85,1
20MC_10 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxS,5751.896,648.398,1
20MC_20 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxS,13439.143,660.32,1
20MC_40 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxS,27372.82,552.377,1
MeOH Blank,Blank,Lab,Sediment,20MC,PFHxS,47.559,0,1
20MC grp A sediment lab blank,Blank,Lab,Sediment,20MC,PFHxS,104.909,519.483,1
20MC grp A sediment field blank,Blank,Field,Sediment,20MC,PFHxS,100.382,589.155,0.9802
20MC grp A sediment 1,Sample,Field,Sediment,20MC,PFHxS,100.608,620.719,0.9879
20MC grp A sediment 2,Sample,Field,Sediment,20MC,PFHxS,161.578,548.615,1.0431
20MC grp A sediment spike,Spike,Lab,Sediment,20MC,PFHxS,9532.596,541.023,1
20MC grp C sediment lab blank,Blank,Lab,Sediment,20MC,PFHxS,58.741,624.094,1
20MC grp C sediment field blank,Blank,Field,Sediment,20MC,PFHxS,56.411,542.168,0.9912
20MC grp C sediment 1,Sample,Field,Sediment,20MC,PFHxS,50.208,748.907,0.9854
20MC grp C sediment 2,Sample,Field,Sediment,20MC,PFHxS,54.18,272.675,0.7808
20MC grp C sediment spike,Spike,Lab,Sediment,20MC,PFHxS,6044.802,698.395,1
20MC grp B sediment lab blank,Blank,Lab,Sediment,20MC,PFHxS,17.293,634.999,1
20MC grp B sediment field blank,Blank,Field,Sediment,20MC,PFHxS,52.285,626.261,0.9912
20MC grp B sediment 1,Sample,Field,Sediment,20MC,PFHxS,69.461,23.957,1.0204
20MC grp B sediment 2,Sample,Field,Sediment,20MC,PFHxS,169.395,947.204,1.0815
20MC grp B sediment spike,Spike,Lab,Sediment,20MC,PFHxS,6774.57,764.198,1
20 MC water field blank 1,Blank,Field,Water,20MC,PFHxS,111.741,640.05,100
20 MC water field blank 2,Blank,Field,Water,20MC,PFHxS,79.718,717.226,100
20 MC water sample 1,Sample,Field,Water,20MC,PFHxS,99.263,710.629,100
20 MC water sample 2,Sample,Field,Water,20MC,PFHxS,75.902,0,100
20 MC water spike 1,Spike,Field,Water,20MC,PFHxS,6239.326,805.585,100
MeOH Blank,Blank,Lab,N/A,20MC,PFHxS,40.121,0,1
