Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte.peak.area,Internal.standard.peak.area,Sample mass
20Mc-group C Biota spike,Spike,Pestle,Biota,20MC,PFHxA,2.15E+05,1.64E+05,1
20Mc-group B Blender Blank,Blank,Blender,Biota,20MC,PFHxA,0.00E+00,2.16E+05,1
20Mc-group B Mortar and Pestle Blank,Blank,Pestle,Biota,20MC,PFHxA,0.00E+00,2.61E+05,1
20Mc-group B Homogenizer Blank,Blank,Homogenizer,Biota,20MC,PFHxA,0.00E+00,2.73E+05,1
20Mc-group B Nymph,Sample,Homogenizer,Biota,20MC,PFHxA,2.94E+04,2.75E+05,0.1089
20Mc-group B Giant Bug 1 ,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,2.10E+05,0.9952
20Mc-group B Giant Bug 2,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,8.60E+04,1.0105
20Mc-group B Catfish,Sample,Blender,Biota,20MC,PFHxA,1.02E+04,3.83E+04,1.1823
20Mc-group B Biota Spike ,Spike,Homogenizer,Biota,20MC,PFHxA,1.28E+05,1.13E+05,1
20Mc-group B Sediment Lab Blank,Blank,Lab,Sediment,20MC,PFHxA,0.00E+00,1.47E+05,1
20Mc-group B Sediment Field Blank,Blank,Field,Sediment,20MC,PFHxA,0.00E+00,2.17E+05,1
20Mc-group B Sediment 2 Rep 1,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,1.29E+05,0.9918
20Mc-group B Sediment 2 Rep 2,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,9.05E+04,1.0064
20Mc-group B Sediment 2 Rep 3 ,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,9.39E+04,1.0641
20Mc-group B Sediment Spike,Spike,Lab,Sediment,20MC,PFHxA,5.24E+05,1.54E+05,1
20MC Group A sed  Field blank,Blank,Lab,Sediment,20MC,PFHxA,2.61E+04,3.74E+05,1
20MC Group A sed Lab blank,Blank,Field,Sediment,20MC,PFHxA,2.11E+04,3.63E+05,1
20MC Group A sed R1,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,1.96E+05,1
20MC Group A sed R2,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,2.22E+05,0.9922
20MC Group A sed R3,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,1.80E+05,1.0233
20MC Group A sed spike,Spike,Lab,Sediment,20MC,PFHxA,1.11E+06,3.75E+05,1
20Mc-group  C Sed Field Blank,Blank,Lab,Sediment,20MC,PFHxA,1.25E+04,3.47E+05,1
20Mc-group C Sed Lab Blank,Blank,Field,Sediment,20MC,PFHxA,0.00E+00,3.24E+05,1
20Mc-group C Sed 3-1,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,2.56E+05,0.8309
20Mc-group C Sed 3-2,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,1.88E+05,0.9147
20Mc-group C Sed 3-3,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,2.38E+05,1.0055
20Mc-group C Sed Spike,Spike,Lab,Sediment,20MC,PFHxA,1.26E+06,3.12E+05,1
NIA water lab blank,Blank,Lab,Water,NIA,PFHxA,1.68E+04,2.69E+05,1
NIA water field blank,Blank,Field,Water,NIA,PFHxA,7.07E+03,2.73E+05,1
NIA water sample 2,Sample,Field,Water,NIA,PFHxA,3.97E+05,2.06E+05,1
NIA water sample 4,Sample,Field,Water,NIA,PFHxA,3.26E+05,1.96E+05,1
NIA water sample 5,Sample,Field,Water,NIA,PFHxA,4.18E+05,1.78E+05,1
NIA water spike 4,Spike,Field,Water,NIA,PFHxA,4.02E+06,2.20E+05,1
NIA water spike 5,Spike,Field,Water,NIA,PFHxA,2.65E+06,2.37E+05,1
NIA water spike 6,Spike,Field,Water,NIA,PFHxA,2.36E+06,2.01E+05,1
Group D-NIA-BIO-SUNFISH Blank-2X,Blank,Blender,Biota,NIA,PFHxA,1.02E+04,5.80E+05,1
Group D-NIA-BIO-Motor Blank-2X,Blank,Pestle,Biota,NIA,PFHxA,1.19E+04,6.39E+05,1
Group D-NIA-BIO-Spike-2X,Spike,Blender,Biota,NIA,PFHxA,7.04E+05,5.81E+05,1
Group D-NIA-BIO-Crafish 20X,Sample,Pestle,Biota,NIA,PFHxA,1.29E+04,4.66E+05,1.203
Group D-NIA-BIO-Lady Bug 20X,Sample,Pestle,Biota,NIA,PFHxA,5.25E+03,5.03E+05,0.0305
Group D-NIA-BIO-Sunfish R1 20X,Sample,Blender,Biota,NIA,PFHxA,7.16E+03,5.10E+05,0.9744
Group D-NIA-BIO-Sunfish R2 20X,Sample,Blender,Biota,NIA,PFHxA,6.09E+03,4.99E+05,0.1095
Group D-NIA-BIO-Nymphs 20X,Sample,Pestle,Biota,NIA,PFHxA,4.65E+03,4.66E+05,0.1419
Group D-NIA SUNFISH K1 2X,Sample,Blender,Biota,NIA,PFHxA,5.78E+03,3.26E+05,0.1095
GROUP D-NIA CRAYFISH 2X ,Sample,Pestle,Biota,NIA,PFHxA,2.91E+04,1.95E+05,1.203
Group D-NIA SUNFISH R2 2X,Sample,Blender,Biota,NIA,PFHxA,6.82E+03,2.31E+05,0.1095
Group D-NIA NYMPTH 2X,Sample,Homogenizer,Biota,NIA,PFHxA,3.94E+03,2.32E+05,0.1419
Group D-NIA LADY BUG 2X,Sample,Pestle,Biota,NIA,PFHxA,2.83E+03,2.23E+05,0.0305
Group E-NIA-BIO-SHRIMP Blank 2x,Blank,Blender,Biota,NIA,PFHxA,5.36E+03,4.31E+05,1
Group E-NIA-BIO-Blender Blank 2x,Blank,Blender,Biota,NIA,PFHxA,5.33E+03,4.37E+05,1
Group E-NIA-BIO-Motor Blank 2x,Blank,Pestle,Biota,NIA,PFHxA,7.72E+03,4.43E+05,1
Group E-NIA-BIO-Spike 2x,Spike,Pestle,Biota,NIA,PFHxA,4.52E+05,2.85E+05,1
Group E-NIA-BIO-DRAGON 20x,Sample,Pestle,Biota,NIA,PFHxA,2.18E+04,1.23E+06,0.5559
Group E-NIA-BIO-SHRIMP 1 R1 20x,Sample,Homogenizer,Biota,NIA,PFHxA,4.31E+04,9.29E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 20x,Sample,Homogenizer,Biota,NIA,PFHxA,1.93E+04,9.61E+05,0.99
Group E-NIA-BIO-CATFISH 20x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,3.50E+05,1.219
Group E-NIA-BIO-SHRIMP 1 R1 2x,Sample,Homogenizer,Biota,NIA,PFHxA,1.16E+05,7.11E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 2x,Sample,Homogenizer,Biota,NIA,PFHxA,1.51E+04,3.94E+05,0.99
Group E-NIA-BIO-DRAGON 2x,Sample,Pestle,Biota,NIA,PFHxA,1.53E+04,3.83E+05,0.5559
Group E-NIA-BIO-CATFISH 2x,Sample,Blender,Biota,NIA,PFHxA,1.38E+04,4.16E+05,1.219
Group F-NIA-BIO-bugs blank 2X,Blank,Pestle,Biota,NIA,PFHxA,0.00E+00,2.98E+05,1
Group F-NIA-BIO-sunfish blank 2X,Blank,Blender,Biota,NIA,PFHxA,0.00E+00,2.46E+05,1
Group F-NIA-BIO-shrimp blank 2X,Blank,Homogenizer,Biota,NIA,PFHxA,0.00E+00,3.09E+05,1
Group F-NIA-BIO-spike 2X,Spike,Homogenizer,Biota,NIA,PFHxA,1.02E+06,4.81E+05,1
Group F-NIA-BIO-bugs 20X,Sample,Pestle,Biota,NIA,PFHxA,3.48E+04,5.17E+05,0.158
Group F-NIA-BIO-sunfish 20X,Sample,Blender,Biota,NIA,PFHxA,1.94E+04,7.23E+05,1.2087
Group F-NIA-BIO-shrimp 20X,Sample,Homogenizer,Biota,NIA,PFHxA,1.53E+04,7.62E+05,1.05
Group F-NIA-BIO-grass hopper 20X,Sample,Pestle,Biota,NIA,PFHxA,9.67E+03,7.67E+05,0.271
Group F-NIA SUNFISH 2X,Sample,Blender,Biota,NIA,PFHxA,5.32E+03,1.46E+05,1.2087
Group F-NIA SHRIMP 2X,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,1.50E+05,1.05
Group F-NIA GRASSHOPPER 2X,Sample,Pestle,Biota,NIA,PFHxA,0.00E+00,1.41E+05,0.271
Group F-NIA BUGS 2X,Sample,Pestle,Biota,NIA,PFHxA,0.00E+00,8.13E+04,0.158
Group F-NIA-SED- lab blank 2X,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,3.11E+05,1
Group F-NIA-SED- field blank 2X,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,3.12E+05,1
Group F-NIA-SED- spike 2X,Spike,Field,Sediment,NIA,PFHxA,6.89E+05,3.15E+05,1
Group F-NIA-SED-R1 20X,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,2.80E+05,1.0847
Group F-NIA-SED-R2 20X,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,2.71E+05,0.9392
Group F-NIA-SED-R3 20X,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,3.11E+05,1.0715
Group F-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,8.01E+04,1.0847
Group F-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,7.50E+04,0.9392
Group F-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,7.73E+04,1.0715
Group D-NIA-SED-Field Blank 2X,Blank,Lab,Sediment,NIA,PFHxA,2.70E+04,7.46E+05,1
Group D-NIA-SED-Lab Blank 2X,Blank,Field,Sediment,NIA,PFHxA,1.30E+04,5.34E+05,1
Group D-NIA-SED-Spike 2X,Spike,Field,Sediment,NIA,PFHxA,1.30E+06,4.90E+05,1
Group D-NIA-SED-Sample 1 20X,Sample,Field,Sediment,NIA,PFHxA,2.02E+04,5.66E+05,1.0124
Group D-NIA-SED-Sample 2 20X,Sample,Field,Sediment,NIA,PFHxA,2.08E+04,5.88E+05,1.0011
Group D-NIA-SED-Sample 3 20X,Sample,Field,Sediment,NIA,PFHxA,1.83E+04,5.95E+05,1.0075
Group D-NIA SED1 2X,Sample,Field,Sediment,NIA,PFHxA,2.09E+04,1.69E+05,1.0124
Group D-NIA SED2 2X,Sample,Field,Sediment,NIA,PFHxA,2.75E+04,1.57E+05,1.0011
Group D-NIA SED3 2X,Sample,Field,Sediment,NIA,PFHxA,2.81E+04,1.50E+05,1.0075
Group E-NIA-SED Field Blank 2x,Blank,Lab,Sediment,NIA,PFHxA,1.33E+04,5.64E+05,1
Group E-NIA-SED Lab Blank 2x,Blank,Field,Sediment,NIA,PFHxA,1.01E+04,5.09E+05,1
Group E-NIA-SED Spike 2x,Spike,Field,Sediment,NIA,PFHxA,1.90E+06,6.39E+05,1
Group E-NIA-SED R1 20x,Sample,Field,Sediment,NIA,PFHxA,2.82E+04,5.73E+05,1.0274
Group E-NIA-SED R2 20x,Sample,Field,Sediment,NIA,PFHxA,2.62E+04,6.40E+05,1.0543
Group E-NIA-SED R3 20x,Sample,Field,Sediment,NIA,PFHxA,2.46E+04,7.37E+05,1.0243
Group E-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFHxA,6.95E+04,2.47E+05,1.0274
Group E-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFHxA,6.76E+04,2.08E+05,1.0543
Group E-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFHxA,3.16E+04,2.38E+05,1.0243
0 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,0.00E+00,3.12E+05,1
0.1 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,4.39E+04,5.01E+05,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,9.39E+04,5.68E+05,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,2.73E+05,5.53E+05,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,5.04E+05,6.77E+05,1
2 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,1.19E+06,6.38E+05,1
5 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,2.83E+06,7.38E+05,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,4.90E+06,7.21E+05,1
20 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,8.05E+06,7.67E+05,1
50 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,1.54E+07,8.87E+05,1
0 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,0.00E+00,2.43E+05,1
0.1 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,1.96E+04,2.44E+05,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,4.33E+04,2.96E+05,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,9.62E+04,2.99E+05,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,2.07E+05,3.42E+05,1
2 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,4.47E+05,3.51E+05,1
5 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,1.33E+06,3.21E+05,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,2.28E+06,3.46E+05,1
20 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,3.66E+06,3.67E+05,1
50 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,7.83E+06,4.35E+05,1
20MC water lab blank,Blank,Lab,Water,20MC,PFHpA,8.71E+03,6.51E+05,1
20MC water field blank,Blank,Field,Water,20MC,PFHpA,1.44E+04,6.30E+05,1
20MC water bottle 4 sample 1,Sample,Field,Water,20MC,PFHpA,7.45E+04,7.43E+05,100
20MC water bottle 4 sample 2,Sample,Field,Water,20MC,PFHpA,9.14E+04,6.35E+05,100
20MC water bottle 4 sample 3,Sample,Field,Water,20MC,PFHpA,5.29E+04,6.79E+05,100
20MC water spike 1,Spike,Field,Water,20MC,PFHpA,5.80E+06,6.26E+05,1
20MC water spike 2,Spike,Field,Water,20MC,PFHpA,5.51E+06,6.10E+05,1
20MC water spike 3,Spike,Field,Water,20MC,PFHpA,5.25E+06,5.14E+05,1
20MC Group A blender blank,Blank,Blender,Biota,20MC,PFHpA,7.71E+03,7.06E+05,1
20MC Group A mortas and pestle Blank,Blank,Pestle,Biota,20MC,PFHpA,6.17E+03,8.25E+05,1
20MC Group A catfish 1,Sample,Blender,Biota,20MC,PFHpA,1.75E+04,2.75E+05,1.0617
20MC Group A catfish 2,Sample,Blender,Biota,20MC,PFHpA,1.41E+04,2.43E+05,1.4491
20MC Group A catfish 3,Sample,Blender,Biota,20MC,PFHpA,9.19E+03,1.77E+05,1.3189
20MC Goup A yellow perch,Sample,Blender,Biota,20MC,PFHpA,6.68E+03,2.71E+05,1.6576
20MC Group A beetle,Sample,Pestle,Biota,20MC,PFHpA,0.00E+00,4.51E+05,1.0617
20MC GroupA biota spike,Spike,Blender,Biota,20MC,PFHpA,1.36E+05,3.77E+05,1
20MC Group A boatmen,Sample,Pestle,Biota,20MC,PFHpA,0.00E+00,4.45E+05,0.2888
20Mc-group C Biota mortar pestle blank,Blank,Pestle,Biota,20MC,PFHpA,0.00E+00,3.75E+05,1
Group C-20MC-BIO-Blender Blank 2x,Blank,Blender,Biota,20MC,PFHpA,4.46E+03,5.17E+05,1
20Mc-group C Biota crawfish 1,Sample,Pestle,Biota,20MC,PFHpA,3.25E+04,2.74E+05,1.0688
20Mc-group C Biota crawfish 2,Sample,Pestle,Biota,20MC,PFHpA,1.33E+04,1.38E+05,1.4043
20Mc-group C Biota sunfish 1,Sample,Blender,Biota,20MC,PFHpA,0.00E+00,1.39E+05,0.9163
20 MC-group C Biota sunfish 2,Sample,Blender,Biota,20MC,PFHpA,0.00E+00,1.36E+05,0.9769
20Mc-group C Biota sunfish 3,Sample,Blender,Biota,20MC,PFHpA,0.00E+00,1.36E+05,1.036
20Mc-group C Biota waterbug 1,Sample,Pestle,Biota,20MC,PFHpA,0.00E+00,1.39E+05,0.7033
20Mc-group C Biota spike,Spike,Pestle,Biota,20MC,PFHpA,2.29E+05,1.46E+05,1
20Mc-group B Blender Blank,Blank,Blender,Biota,20MC,PFHpA,0.00E+00,2.31E+05,1
20Mc-group B Mortar and Pestle Blank,Blank,Pestle,Biota,20MC,PFHpA,0.00E+00,2.55E+05,1
20Mc-group B Homogenizer Blank,Blank,Homogenizer,Biota,20MC,PFHpA,0.00E+00,2.60E+05,1
20Mc-group B Nymph,Sample,Homogenizer,Biota,20MC,PFHpA,0.00E+00,2.62E+05,0.1089
20Mc-group B Giant Bug 1 ,Sample,Pestle,Biota,20MC,PFHpA,0.00E+00,2.05E+05,0.9952
20Mc-group B Giant Bug 2,Sample,Pestle,Biota,20MC,PFHpA,0.00E+00,8.07E+04,1.0105
20Mc-group B Catfish,Sample,Blender,Biota,20MC,PFHpA,0.00E+00,2.92E+04,1.1823
20Mc-group B Biota Spike ,Spike,Homogenizer,Biota,20MC,PFHpA,1.90E+05,1.11E+05,1
20Mc-group B Sediment Lab Blank,Blank,Lab,Sediment,20MC,PFHpA,0.00E+00,1.67E+05,1
20Mc-group B Sediment Field Blank,Blank,Field,Sediment,20MC,PFHpA,0.00E+00,2.25E+05,1
20Mc-group B Sediment 2 Rep 1,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,1.41E+05,0.9918
20Mc-group B Sediment 2 Rep 2,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,1.04E+05,1.0064
20Mc-group B Sediment 2 Rep 3 ,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,8.94E+04,1.0641
20Mc-group B Sediment Spike,Spike,Lab,Sediment,20MC,PFHpA,4.56E+05,1.43E+05,1
20MC Group A sed  Field blank,Blank,Lab,Sediment,20MC,PFHpA,0.00E+00,3.87E+05,1
20MC Group A sed Lab blank,Blank,Field,Sediment,20MC,PFHpA,0.00E+00,3.96E+05,1
20MC Group A sed R1,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,1.95E+05,1
20MC Group A sed R2,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,2.15E+05,0.9922
20MC Group A sed R3,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,1.76E+05,1.0233
20MC Group A sed spike,Spike,Lab,Sediment,20MC,PFHpA,8.45E+05,3.67E+05,1
20Mc-group  C Sed Field Blank,Blank,Lab,Sediment,20MC,PFHpA,7.49E+03,3.13E+05,1
20Mc-group C Sed Lab Blank,Blank,Field,Sediment,20MC,PFHpA,1.94E+04,3.57E+05,1
20Mc-group C Sed 3-1,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,2.36E+05,0.8309
20Mc-group C Sed 3-2,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,2.09E+05,0.9147
20Mc-group C Sed 3-3,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,2.25E+05,1.0055
20Mc-group C Sed Spike,Spike,Lab,Sediment,20MC,PFHpA,1.09E+06,3.02E+05,1
NIA water lab blank,Blank,Lab,Water,NIA,PFHpA,1.27E+04,2.53E+05,1
NIA water field blank,Blank,Field,Water,NIA,PFHpA,0.00E+00,2.62E+05,1
NIA water sample 2,Sample,Field,Water,NIA,PFHpA,1.65E+05,2.37E+05,1
NIA water sample 4,Sample,Field,Water,NIA,PFHpA,1.26E+05,2.27E+05,1
NIA water sample 5,Sample,Field,Water,NIA,PFHpA,1.68E+05,2.10E+05,1
NIA water spike 4,Spike,Field,Water,NIA,PFHpA,3.20E+06,2.17E+05,1
NIA water spike 5,Spike,Field,Water,NIA,PFHpA,2.08E+06,2.41E+05,1
NIA water spike 6,Spike,Field,Water,NIA,PFHpA,2.43E+06,2.26E+05,1
Group D-NIA-BIO-SUNFISH Blank-2X,Blank,Blender,Biota,NIA,PFHpA,4.08E+03,6.62E+05,1
Group D-NIA-BIO-Motor Blank-2X,Blank,Pestle,Biota,NIA,PFHpA,0.00E+00,5.41E+05,1
Group D-NIA-BIO-Spike-2X,Spike,Blender,Biota,NIA,PFHpA,7.59E+05,4.70E+05,1
Group D-NIA-BIO-Crafish 20X,Sample,Pestle,Biota,NIA,PFHpA,2.35E+04,4.36E+05,1.203
Group D-NIA-BIO-Lady Bug 20X,Sample,Pestle,Biota,NIA,PFHpA,5.20E+02,5.30E+05,0.0305
Group D-NIA-BIO-Sunfish R1 20X,Sample,Blender,Biota,NIA,PFHpA,3.95E+03,5.10E+05,0.9744
Group D-NIA-BIO-Sunfish R2 20X,Sample,Blender,Biota,NIA,PFHpA,5.57E+03,4.10E+05,0.1095
Group D-NIA-BIO-Nymphs 20X,Sample,Pestle,Biota,NIA,PFHpA,2.35E+03,4.45E+05,0.1419
Group D-NIA SUNFISH K1 2X,Sample,Blender,Biota,NIA,PFHpA,4.04E+03,2.94E+05,0.1095
GROUP D-NIA CRAYFISH 2X ,Sample,Pestle,Biota,NIA,PFHpA,9.39E+04,1.70E+05,1.203
Group D-NIA SUNFISH R2 2X,Sample,Blender,Biota,NIA,PFHpA,4.03E+03,1.62E+05,0.1095
Group D-NIA NYMPTH 2X,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,2.08E+05,0.1419
Group D-NIA LADY BUG 2X,Sample,Pestle,Biota,NIA,PFHpA,0.00E+00,2.54E+05,0.0305
Group E-NIA-BIO-SHRIMP Blank 2x,Blank,Blender,Biota,NIA,PFHpA,2.44E+03,4.52E+05,1
Group E-NIA-BIO-Blender Blank 2x,Blank,Blender,Biota,NIA,PFHpA,5.34E+03,4.83E+05,1
Group E-NIA-BIO-Motor Blank 2x,Blank,Pestle,Biota,NIA,PFHpA,3.96E+03,4.62E+05,1
Group E-NIA-BIO-Spike 2x,Spike,Pestle,Biota,NIA,PFHpA,4.45E+05,2.61E+05,1
Group E-NIA-BIO-DRAGON 20x,Sample,Pestle,Biota,NIA,PFHpA,9.03E+03,1.03E+06,0.5559
Group E-NIA-BIO-SHRIMP 1 R1 20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.43E+04,9.71E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 20x,Sample,Homogenizer,Biota,NIA,PFHpA,8.87E+03,9.41E+05,0.99
Group E-NIA-BIO-CATFISH 20x,Sample,Blender,Biota,NIA,PFHpA,3.03E+03,2.94E+05,1.219
Group E-NIA-BIO-SHRIMP 1 R1 2x,Sample,Homogenizer,Biota,NIA,PFHpA,1.29E+04,6.03E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 2x,Sample,Homogenizer,Biota,NIA,PFHpA,8.77E+03,3.92E+05,0.99
Group E-NIA-BIO-DRAGON 2x,Sample,Pestle,Biota,NIA,PFHpA,7.82E+03,4.05E+05,0.5559
Group E-NIA-BIO-CATFISH 2x,Sample,Blender,Biota,NIA,PFHpA,6.49E+03,3.41E+05,1.219
Group F-NIA-BIO-bugs blank 2X,Blank,Pestle,Biota,NIA,PFHpA,3.10E+03,2.48E+05,1
Group F-NIA-BIO-sunfish blank 2X,Blank,Blender,Biota,NIA,PFHpA,3.91E+03,2.51E+05,1
Group F-NIA-BIO-shrimp blank 2X,Blank,Homogenizer,Biota,NIA,PFHpA,3.89E+03,2.24E+05,1
