Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Normalization factor
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,3.47E+04,2.44,1.79E+04,1
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,7.94E+04,2.42,1.58E+04,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,2.16E+05,2.45,1.75E+04,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,4.38E+05,2.45,2.34E+04,1
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,8.52E+05,2.43,2.34E+04,1
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.77E+06,2.45,1.84E+04,1
NIA-S-GE-lab blank 1,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,1.88E+03,1
NIA-S-GE-lab blank 2,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,1.91E+03,1
NIA-S-GE-field blank 1,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,2.32E+03,1
NIA-S-GE-field blank 2,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,2.85E+03,1
NIA-S-GE-spike 1,Spike,Field,Sediment,NIA,PFHxA,7.54E+03,2.47,1.30E+03,1
NIA-S-GE-spike 2,Spike,Field,Sediment,NIA,PFHxA,7.42E+03,2.48,2.09E+03,1
NIA-S-GE-sample 1,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,1.05E+03,1
NIA-S-GE-sample 2 ,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,1.11E+03,1
NIA-S-GE-sample 3,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,2.68,1.89E+03,1
NIA-B-GE- homogen blank,Blank,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,5.27E+03,1
NIA-B-GE- blender blank,Blank,Blender ,Biota,NIA,PFHxA,3.32E+02,2.45,1.12E+03,1
NIA-B-GE- spike 1,Spike,Homogenizer,Biota,NIA,PFHxA,5.85E+04,2.45,9.60E+03,1
NIA-B-GE- spike 2,Spike,Blender ,Biota,NIA,PFHxA,3.14E+03,2.5,1.95E+03,1
NIA-B-GE- catfish 1,Sample,Blender ,Biota,NIA,PFHxA,9.83E+02,2.43,5.91E+03,0.8545
NIA-B-GE- catfish 2,Sample,Blender ,Biota,NIA,PFHxA,0.00E+00,0,4.69E+03,0.856
NIA-B-GE- catfish 3,Sample,Blender ,Biota,NIA,PFHxA,0.00E+00,0,3.24E+03,0.7441
NIA-B-GE- catfish 1 (20x),Sample,Blender ,Biota,NIA,PFHxA,4.38E+02,2.42,4.12E+03,0.8545
NIA-B-GE- catfish 2 (20x),Sample,Blender ,Biota,NIA,PFHxA,0.00E+00,0,1.76E+03,0.856
NIA-B-GE- catfish 3 (20x),Sample,Blender ,Biota,NIA,PFHxA,0.00E+00,0,2.44E+03,0.7441
NIA-B-GF- pestle blank,Blank,Pestle,Biota,NIA,PFHxA,6.68E+02,2.43,4.71E+03,1
NIA-B-GF- blender blank,Blank,Blender ,Biota,NIA,PFHxA,8.34E+02,2.44,1.04E+04,1
NIA-B-GF-spike,Spike,Pestle,Biota,NIA,PFHxA,4.03E+04,2.44,8.04E+03,1
NIA-B-GF-crayfish 1,Sample,Pestle,Biota,NIA,PFHxA,0.00E+00,0,3.22E+03,1.0505
NIA-B-GF-crayfish 2,Sample,Pestle,Biota,NIA,PFHxA,0.00E+00,0,2.70E+03,1.0872
NIA-B-GF-crayfish 3,Sample,Pestle,Biota,NIA,PFHxA,1.36E+03,2.42,3.92E+03,1.0251
NIA-B-GF-sunfish 2,Sample,Blender ,Biota,NIA,PFHxA,0.00E+00,0,2.53E+03,0.9781
NIA-B-GD-lab blank,Blank,Lab,Biota,NIA,PFHxA,4.39E+02,2.43,6.06E+03,1
NIA-B-GD-spike ,Spike,Lab,Biota,NIA,PFHxA,5.67E+03,2.42,4.26E+03,1
NIA-B-GD-shrimp 3,Sample,Homogenizer,Biota,NIA,PFHxA,6.84E+02,2.42,2.67E+03,0.9024
NIA-B-GD-snail 1,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,5.11E+03,0.7
NIA-B-GD-snail 2,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,6.10E+03,0.51
NIA-B-GD-catfish 1 (20x),Sample,Blender ,Biota,NIA,PFHxA,0.00E+00,0,2.24E+03,1
NIA-B-GD-catfish 2 (20x),Sample,Blender ,Biota,NIA,PFHxA,3.06E+02,2.43,3.71E+03,1
NIA-B-GD-catfish 1,Sample,Blender ,Biota,NIA,PFHxA,0.00E+00,0,2.52E+03,1
20MC-W-field blank,Blank,Field,Water,20MC,PFHpA,2.36E+04,2.54,3.20E+05,1
20MC-W-lab blank,Blank,Lab,Water,20MC,PFHpA,9.74E+03,2.58,2.39E+05,1
20MC-W-spike 1,Spike,Field,Water,20MC,PFHpA,2.80E+06,2.56,2.70E+05,1
20MC-W-spike 2,Spike,Field,Water,20MC,PFHpA,2.72E+06,2.54,2.63E+05,1
20MC-W-sample 1,Sample,Field,Water,20MC,PFHpA,1.62E+04,2.58,2.15E+05,100
20MC-W-sample 2,Sample,Field,Water,20MC,PFHpA,1.21E+04,2.56,1.95E+05,100
 20MC-W-sample 3,Sample,Field,Water,20MC,PFHpA,2.43E+04,2.54,1.95E+05,100
NIA-W- field blank 1,Blank,Field,Water,NIA,PFHpA,2.23E+04,2.55,1.57E+05,1
 NIA-W- field blank 2,Blank,Field,Water,NIA,PFHpA,1.21E+04,2.55,1.88E+05,1
NIA-W- lab blank,Blank,Lab,Water,NIA,PFHpA,2.18E+04,2.54,1.81E+05,1
NIA-W-spike 1,Spike,Field,Water,NIA,PFHpA,1.33E+06,2.54,1.42E+05,1
NIA-W-spike 2,Spike,Field,Water,NIA,PFHpA,1.05E+06,2.54,1.15E+05,1
NIA-W-sample 1,Sample,Field,Water,NIA,PFHpA,5.47E+04,2.55,1.03E+05,100
NIA-W-sample 2,Sample,Field,Water,NIA,PFHpA,1.10E+05,2.53,9.41E+04,100
NIA-W-sample 3,Sample,Field,Water,NIA,PFHpA,4.75E+04,2.56,9.54E+04,100
20MC-S-GA-field blank,Blank,Field,Sediment,20MC,PFHpA,1.56E+03,2.55,1.92E+04,1
20MC-S-GA-sample 1,Sample,Field,Sediment,20MC,PFHpA,1.51E+03,2.57,6.19E+04,1.0121
20MC-S-GA-sample 2,Sample,Field,Sediment,20MC,PFHpA,1.43E+03,2.57,3.97E+04,1.053
20MC-S-GA-sample 3,Sample,Field,Sediment,20MC,PFHpA,2.08E+03,2.57,3.31E+04,1.0155
20MC-S-GA-sample A2-1,Sample,Field,Sediment,20MC,PFHpA,2.92E+02,2.55,2.66E+03,0.9904
20MC-S-GC-lab blank,Blank,Lab,Sediment,20MC,PFHpA,2.39E+03,2.55,2.94E+04,1
20MC-S-GC-field blank,Blank,Field,Sediment,20MC,PFHpA,2.47E+03,2.56,2.45E+04,1
20MC-S-GC-spike,Spike,Field,Sediment,20MC,PFHpA,3.34E+04,2.56,7.03E+03,1
20MC-S-GC-sample 1,Sample,Field,Sediment,20MC,PFHpA,1.72E+03,2.54,2.22E+04,1.0141
20MC-S-GC-sample 2,Sample,Field,Sediment,20MC,PFHpA,0.00E+00,0,1.86E+04,1.0831
20MC-S-GC-sample 3,Sample,Field,Sediment,20MC,PFHpA,4.02E+03,2.57,1.36E+04,1.0827
20MC-B-GA-snail 1,Sample,Homogenizer,Biota,20MC,PFHpA,0.00E+00,0,2.45E+04,0.6301
20MC-B-GA-snail 2,Sample,Homogenizer,Biota,20MC,PFHpA,8.72E+02,2.51,2.62E+04,0.7424
20MC-B-GB-lab blank,Blank,Lab,Biota,20MC,PFHpA,0.00E+00,0,8.51E+03,1
20MC-B-GB-spike,Spike,Pestle,Biota,20MC,PFHpA,7.88E+04,2.55,2.80E+04,1
20MC-B-GB-roach 2,Sample,Pestle,Biota,20MC,PFHpA,9.19E+02,2.59,2.71E+04,0.6256
20MC-B-GB-roach 3,Sample,Pestle,Biota,20MC,PFHpA,4.66E+02,2.57,1.63E+04,0.7145
20MC-B-GB-roach 4,Sample,Pestle,Biota,20MC,PFHpA,4.57E+02,2.57,1.44E+04,0.8094
20MC-B-GB-roach 5,Sample,Pestle,Biota,20MC,PFHpA,3.90E+02,2.56,1.02E+04,0.7467
20MC-B-GB-stickbug,Sample,Pestle,Biota,20MC,PFHpA,0.00E+00,0,9.76E+03,0.1968
20MC-B-GB-sunfish 2,Sample,Blender ,Biota,20MC,PFHpA,4.13E+02,2.58,7.12E+03,0.7269
20MC-B-GB-sunfish 3,Sample,Blender ,Biota,20MC,PFHpA,0.00E+00,0,7.62E+03,0.804
20MC-B-GB-soft 1,Sample,Homogenizer,Biota,20MC,PFHpA,3.69E+02,2.56,8.94E+03,0.643
20MC-B-GB-soft 2,Sample,Homogenizer,Biota,20MC,PFHpA,6.42E+02,2.59,1.42E+04,0.8031
20MC-B-GB-soft 3,Sample,Homogenizer,Biota,20MC,PFHpA,0.00E+00,0,1.04E+04,0.5117
20MC-B-GC-lab blank,Blank,Lab,Biota,20MC,PFHpA,0.00E+00,0,1.01E+04,1
20MC-B-GC-pestle blank 1,Blank,Pestle,Biota,20MC,PFHpA,0.00E+00,0,5.81E+03,1
20MC-B-GC-pestle blank 2,Blank,Pestle,Biota,20MC,PFHpA,1.57E+03,2.53,1.54E+04,1
20MC-B-GC-spike,Spike,Pestle,Biota,20MC,PFHpA,5.67E+04,2.55,9.79E+03,1
20MC-B-GC-catfish 1,Sample,Blender ,Biota,20MC,PFHpA,8.89E+02,2.57,1.04E+04,0.6004
20MC-B-GC-catfish 2,Sample,Blender ,Biota,20MC,PFHpA,4.45E+02,2.57,7.51E+03,1.0468
20MC-B-GC-catfish 3,Sample,Blender ,Biota,20MC,PFHpA,9.36E+02,2.55,5.80E+03,1.1744
20MC-B-GC-crayfish 1,Sample,Pestle,Biota,20MC,PFHpA,0.00E+00,0,7.60E+03,1
20MC-B-GC-crayfish 2,Sample,Pestle,Biota,20MC,PFHpA,1.96E+02,2.56,7.59E+03,1
20MC-B-GC-crayfish 3,Sample,Pestle,Biota,20MC,PFHpA,9.76E+02,2.55,6.68E+03,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,0.00E+00,0,1.44E+04,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.03E+03,2.54,1.70E+04,1
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,8.28E+03,2.5,2.00E+04,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.21E+04,2.55,2.13E+04,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.88E+04,2.54,2.06E+04,1
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.14E+05,2.54,1.99E+04,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.91E+05,2.55,2.19E+04,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,5.67E+05,2.54,2.23E+04,1
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.04E+06,2.53,2.12E+04,1
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.94E+06,2.55,1.91E+04,1
NIA-S-GE-lab blank 1,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,3.79E+03,1
NIA-S-GE-lab blank 2,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,4.92E+03,1
NIA-S-GE-field blank 1,Blank,Field,Sediment,NIA,PFHpA,0.00E+00,0,4.43E+03,1
NIA-S-GE-field blank 2,Blank,Field,Sediment,NIA,PFHpA,4.46E+02,2.54,9.52E+03,1
NIA-S-GE-spike 1,Spike,Field,Sediment,NIA,PFHpA,1.55E+04,2.56,3.16E+03,1
NIA-S-GE-spike 2,Spike,Field,Sediment,NIA,PFHpA,1.90E+04,2.56,4.88E+03,1
NIA-S-GE-sample 1,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,4.08E+03,1
NIA-S-GE-sample 2 ,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,4.27E+03,1
NIA-S-GE-sample 3,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,3.92E+03,1
NIA-B-GE- homogen blank,Blank,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,1.15E+04,1
NIA-B-GE- blender blank,Blank,Blender ,Biota,NIA,PFHpA,0.00E+00,0,3.11E+03,1
NIA-B-GE- spike 1,Spike,Homogenizer,Biota,NIA,PFHpA,8.52E+04,2.52,9.19E+03,1
NIA-B-GE- spike 2,Spike,Blender ,Biota,NIA,PFHpA,6.58E+03,2.56,3.84E+03,1
NIA-B-GE- catfish 1,Sample,Blender ,Biota,NIA,PFHpA,5.96E+02,2.56,1.08E+04,0.8545
NIA-B-GE- catfish 2,Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,7.22E+03,0.856
NIA-B-GE- catfish 3,Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,6.12E+03,0.7441
NIA-B-GE- catfish 1 (20x),Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,4.61E+03,0.8545
NIA-B-GE- catfish 2 (20x),Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,4.08E+03,0.856
NIA-B-GE- catfish 3 (20x),Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,4.96E+03,0.7441
NIA-B-GF- pestle blank,Blank,Pestle,Biota,NIA,PFHpA,0.00E+00,0,6.83E+03,1
NIA-B-GF- blender blank,Blank,Blender ,Biota,NIA,PFHpA,0.00E+00,0,1.34E+04,1
NIA-B-GF-spike,Spike,Pestle,Biota,NIA,PFHpA,6.85E+04,2.54,1.18E+04,1
NIA-B-GF-crayfish 1,Sample,Pestle,Biota,NIA,PFHpA,2.27E+03,2.56,8.41E+03,1.0505
NIA-B-GF-crayfish 2,Sample,Pestle,Biota,NIA,PFHpA,1.49E+03,2.55,6.83E+03,1.0872
NIA-B-GF-crayfish 3,Sample,Pestle,Biota,NIA,PFHpA,1.36E+03,2.57,9.08E+03,1.0251
NIA-B-GF-sunfish 1,Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,4.99E+03,0.9148
NIA-B-GF-sunfish 2,Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,4.85E+03,0.9781
NIA-B-GF-sunfish 3,Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,5.27E+03,0.9652
NIA-B-GD-lab blank,Blank,Lab,Biota,NIA,PFHpA,0.00E+00,0,6.67E+03,1
NIA-B-GD-spike ,Spike,Lab,Biota,NIA,PFHpA,3.98E+03,2.54,5.16E+03,1
NIA-B-GD-shrimp 1,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,5.06E+03,0.8227
NIA-B-GD-shrimp 2,Sample,Homogenizer,Biota,NIA,PFHpA,1.77E+02,2.55,4.84E+03,0.5472
NIA-B-GD-shrimp 3,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,4.70E+03,0.9024
NIA-B-GD-snail 1,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,8.00E+03,0.7
NIA-B-GD-snail 2,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,9.10E+03,0.51
NIA-B-GD-catfish 1 (20x),Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,3.48E+03,1
NIA-B-GD-catfish 2 (20x),Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,4.64E+03,1
NIA-B-GD-catfish 1,Sample,Blender ,Biota,NIA,PFHpA,0.00E+00,0,2.60E+03,1
20MC-W-field blank,Blank,Field,Water,20MC,PFOA,1.41E+05,2.68,3.20E+05,1
20MC-W-lab blank,Blank,Lab,Water,20MC,PFOA,9.21E+04,2.67,2.24E+05,1
20MC-W-spike 1,Spike,Field,Water,20MC,PFOA,2.86E+06,2.67,2.70E+05,1
20MC-W-spike 2,Spike,Field,Water,20MC,PFOA,3.24E+06,2.68,2.63E+05,1
20MC-W-sample 1,Sample,Field,Water,20MC,PFOA,1.30E+05,2.66,2.15E+05,100
20MC-W-sample 2,Sample,Field,Water,20MC,PFOA,1.17E+05,2.67,1.84E+05,100
 20MC-W-sample 3,Sample,Field,Water,20MC,PFOA,8.41E+04,2.65,1.62E+05,100
NIA-W- field blank 1,Blank,Field,Water,NIA,PFOA,1.10E+05,2.67,1.57E+05,1
 NIA-W- field blank 2,Blank,Field,Water,NIA,PFOA,9.57E+04,2.66,1.76E+05,1
NIA-W- lab blank,Blank,Lab,Water,NIA,PFOA,7.24E+04,2.68,1.81E+05,1
NIA-W-spike 1,Spike,Field,Water,NIA,PFOA,1.64E+06,2.66,1.42E+05,1
NIA-W-spike 2,Spike,Field,Water,NIA,PFOA,1.25E+06,2.67,1.15E+05,1
NIA-W-sample 1,Sample,Field,Water,NIA,PFOA,7.78E+04,2.66,1.03E+05,100
NIA-W-sample 2,Sample,Field,Water,NIA,PFOA,1.38E+05,2.65,9.41E+04,100
NIA-W-sample 3,Sample,Field,Water,NIA,PFOA,7.33E+04,2.66,8.47E+04,100
20MC-S-GA-field blank,Blank,Field,Sediment,20MC,PFOA,1.23E+04,2.67,1.92E+04,1
20MC-S-GA-sample 1,Sample,Field,Sediment,20MC,PFOA,5.53E+04,2.66,6.19E+04,1.0121
20MC-S-GA-sample 2,Sample,Field,Sediment,20MC,PFOA,3.44E+04,2.67,3.97E+04,1.053
20MC-S-GA-sample 3,Sample,Field,Sediment,20MC,PFOA,4.07E+04,2.65,3.31E+04,1.0155
20MC-S-GA-sample A2-1,Sample,Field,Sediment,20MC,PFOA,2.83E+03,2.68,2.66E+03,0.9904
20MC-S-GC-lab blank,Blank,Lab,Sediment,20MC,PFOA,2.76E+04,2.66,2.94E+04,1
20MC-S-GC-field blank,Blank,Field,Sediment,20MC,PFOA,1.92E+04,2.66,2.45E+04,1
20MC-S-GC-spike,Spike,Field,Sediment,20MC,PFOA,5.60E+04,2.65,7.03E+03,1
20MC-S-GC-sample 1,Sample,Field,Sediment,20MC,PFOA,1.46E+04,2.65,2.22E+04,1.0141
20MC-S-GC-sample 2,Sample,Field,Sediment,20MC,PFOA,1.34E+04,2.64,1.86E+04,1.0831
20MC-S-GC-sample 3,Sample,Field,Sediment,20MC,PFOA,2.17E+04,2.65,1.36E+04,1.0827
20MC-B-GA-snail 1,Sample,Homogenizer,Biota,20MC,PFOA,3.53E+03,2.66,2.45E+04,0.6301
20MC-B-GA-snail 2,Sample,Homogenizer,Biota,20MC,PFOA,3.84E+03,2.64,2.62E+04,0.7424
20MC-B-GB-lab blank,Blank,Lab,Biota,20MC,PFOA,1.99E+03,2.67,8.51E+03,1
20MC-B-GB-spike,Spike,Pestle,Biota,20MC,PFOA,1.52E+05,2.66,2.80E+04,1
20MC-B-GB-roach 2,Sample,Pestle,Biota,20MC,PFOA,4.81E+03,2.67,2.71E+04,0.6256
20MC-B-GB-roach 3,Sample,Pestle,Biota,20MC,PFOA,1.88E+03,2.63,1.63E+04,0.7145
20MC-B-GB-roach 4,Sample,Pestle,Biota,20MC,PFOA,2.74E+03,2.69,1.44E+04,0.8094
20MC-B-GB-roach 5,Sample,Pestle,Biota,20MC,PFOA,1.70E+03,2.66,1.02E+04,0.7467
20MC-B-GB-stickbug,Sample,Pestle,Biota,20MC,PFOA,1.38E+03,2.67,9.76E+03,0.1968
20MC-B-GB-sunfish 2,Sample,Blender ,Biota,20MC,PFOA,9.26E+02,2.68,7.12E+03,0.7269
20MC-B-GB-sunfish 3,Sample,Blender ,Biota,20MC,PFOA,7.27E+02,2.62,7.62E+03,0.804
20MC-B-GB-soft 1,Sample,Homogenizer,Biota,20MC,PFOA,2.25E+03,2.66,8.18E+03,0.643
20MC-B-GB-soft 2,Sample,Homogenizer,Biota,20MC,PFOA,2.67E+03,2.66,1.33E+04,0.8031
20MC-B-GB-soft 3,Sample,Homogenizer,Biota,20MC,PFOA,3.26E+03,2.67,1.04E+04,0.5117
20MC-B-GC-lab blank,Blank,Lab,Biota,20MC,PFOA,3.25E+03,2.67,9.18E+03,1
20MC-B-GC-pestle blank 1,Blank,Pestle,Biota,20MC,PFOA,0.00E+00,0,5.33E+03,1
20MC-B-GC-pestle blank 2,Blank,Pestle,Biota,20MC,PFOA,2.85E+03,2.65,1.54E+04,1
20MC-B-GC-spike,Spike,Pestle,Biota,20MC,PFOA,6.45E+04,2.62,9.79E+03,1
20MC-B-GC-catfish 1,Sample,Blender ,Biota,20MC,PFOA,1.93E+03,2.66,1.04E+04,0.6004
20MC-B-GC-catfish 2,Sample,Blender ,Biota,20MC,PFOA,6.38E+02,2.68,7.51E+03,1.0468
20MC-B-GC-catfish 3,Sample,Blender ,Biota,20MC,PFOA,2.18E+03,2.67,5.80E+03,1.1744
20MC-B-GC-crayfish 1,Sample,Pestle,Biota,20MC,PFOA,2.18E+03,2.66,7.60E+03,1
20MC-B-GC-crayfish 2,Sample,Pestle,Biota,20MC,PFOA,3.31E+03,2.67,7.59E+03,1
20MC-B-GC-crayfish 3,Sample,Pestle,Biota,20MC,PFOA,3.71E+03,2.66,6.68E+03,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.17E+03,2.65,1.44E+04,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,4.56E+03,2.66,1.70E+04,1
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,7.47E+03,2.66,2.00E+04,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.69E+04,2.66,2.13E+04,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,4.13E+04,2.66,2.06E+04,1
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,9.94E+04,2.67,1.99E+04,1
