Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time,Internal standard peak area,Normalization factor
20MC catfish Grp B rep 3,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.78,2.33E+05,1.0164
20MC snail Grp B rep 1,Sample,Blender,Biota,20MC,PFHxA,8.83E+03,2.85,3.12E+05,1.0074
20MC snail Grp B rep 2,Sample,Blender,Biota,20MC,PFHxA,9.19E+03,2.85,3.28E+05,1.1286
20MC snail Grp B rep 3,Sample,Blender,Biota,20MC,PFHxA,7.06E+03,2.88,2.63E+05,1.0855
20MC sunfish Grp B rep 1,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,0,1.32E+05,1.0472
20MC sunfish Grp B rep 2,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.89,1.96E+05,1.0903
20MC sunfish Grp B rep 3,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,0,1.70E+05,1.023
20MC Catfish 2 blender blk Grp C ,Blank,Blender,Biota,20MC,PFHxA,3.88E+03,2.88,6.60E+05,1
20MC Catfish 2 Grp C rep 1,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.85,7.28E+05,1.086
20MC Catfish 2 Grp C rep 2,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.87,5.64E+05,1.0618
20MC Catfish 2 Grp C rep 3,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.67,3.34E+05,1.0268
20MC Crayfish Grp C blank,Blank,Blender,Biota,20MC,PFHxA,0.00E+00,0,2.03E+05,1
20MC Crayfish Grp C rep 1,Sample,Blender,Biota,20MC,PFHxA,6.05E+03,2.9,9.26E+05,1.0985
20MC Crayfish Grp C rep 2,Sample,Blender,Biota,20MC,PFHxA,7.97E+03,2.87,0.00E+00,1.0701
20MC Crayfish Grp C rep 3,Sample,Blender,Biota,20MC,PFHxA,9.50E+03,2.86,7.35E+05,0.719
20MC Homogenizer blk Grp C,Blank,Homogenizer,Biota,20MC,PFHxA,4.69E+03,2.89,3.70E+05,1
20MC Mayfly Grp C rep 1,Sample,Homogenizer,Biota,20MC,PFHxA,3.60E+04,2.87,3.34E+05,0.2434
20MC Mayfly Grp C rep 2,Sample,Homogenizer,Biota,20MC,PFHxA,5.39E+03,2.88,3.90E+05,0.2421
20MC Mayfly Grp C rep 3,Sample,Homogenizer,Biota,20MC,PFHxA,1.10E+04,2.88,4.62E+05,0.1754
20MC Mortar and Pestle blk Grp A,Blank,Pestle,Biota,20MC,PFHxA,7.48E+03,2.89,8.50E+05,1
20MC Beetle Grp A,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,1.58E+05,0.3872
20MC Stick bug Grp A,Sample,Pestle,Biota,20MC,PFHxA,1.53E+04,2.85,4.37E+05,0.2556
20MC Minnow Grp A rep 1,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.87,1.90E+05,1.085
20MC Minnow Grp A rep 2,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.74,2.19E+05,0.9924
20MC Minnow Grp A rep 3,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.62,1.03E+05,1.012
NIA Blender Blk Grp D 2x dil,Blank,Blender,Biota,NIA,PFHxA,7.45E+03,2.86,6.89E+05,1
NIA Catfish 1-1 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,2.87,1.04E+06,0.811
NIA Catfish 1-2 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,2.88,9.81E+05,0.8655
NIA Catfish 1-3 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,1.13E+06,0.9952
NIA Sunfish 2-1 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHxA,5.89E+03,2.88,9.30E+05,0.998
NIA Sunfish 2-2 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHxA,6.08E+03,2.9,9.34E+05,1.3837
NIA Sunfish 2-3 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHxA,8.36E+03,2.88,9.43E+05,1.1401
NIA Homogenizer Blk Grp D 2x dil,Blank,Homogenizer,Biota,NIA,PFHxA,5.75E+03,2.89,9.42E+05,1
NIA Damselfly 1 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFHxA,6.68E+03,2.88,7.37E+05,1.0018
NIA Damselfly 2 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFHxA,8.97E+03,2.88,9.82E+05,0.4005
NIA Dragonfly 1 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFHxA,8.77E+03,2.88,9.37E+05,0.352
NIA Mortar and Pestle Blk Grp E 2x dil,Blank,Pestle,Biota,NIA,PFHxA,9.93E+03,2.88,8.85E+05,1
NIA Catfish Blk Grp E 2x dil,Blank,Blender,Biota,NIA,PFHxA,8.16E+03,2.87,8.28E+05,1
NIA Whirlygig 1 Grp E 20x dil,Sample,Pestle,Biota,NIA,PFHxA,9.27E+03,2.89,9.92E+05,0.3269
NIA Catfish 2-1 Grp E 20x dil,Sample,Blender,Biota,NIA,PFHxA,7.41E+03,2.91,8.57E+05,0.9985
NIA Catfish 2-2 Grp E 20x dil,Sample,Blender,Biota,NIA,PFHxA,5.89E+03,2.86,9.48E+05,0.8517
NIA Snail Grp E 20x dil,Sample,Homogenizer,Biota,NIA,PFHxA,6.31E+03,2.9,6.35E+05,1.5217
NIA Damselfly 1 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFHxA,1.01E+04,2.88,5.37E+05,0.4005
NIA Damselfly 2 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFHxA,9.54E+03,2.91,5.72E+05,0.352
NIA Dragonfly 1 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFHxA,9.62E+03,2.9,3.92E+05,1.0018
NIA Catfish 1-1 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,2.66,4.26E+05,0.811
NIA Catfish 1-2 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,3.17E+05,0.8655
NIA Catfish 1-3 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,1.36E+05,0.9952
NIA Sunfish 2-1 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,1.87,1.14E+05,0.998
NIA Sunfish 2-2 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,1.58E+05,1.3837
NIA Sunfish 2-3 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,1.50E+05,1.1401
NIA Whirlygig 1 Grp E 2x dil,Sample,Pestle,Biota,NIA,PFHxA,0.00E+00,0,1.70E+05,0.3269
NIA Catfish 2-1 Grp E 2x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,1.00E+05,0.9985
NIA Catfish 2-2 Grp E 2x dil,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,1.40E+05,0.8517
NIA Snail Grp E 2x dil,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,4.28E+04,1.5217
20MC Sed 2 Grp A lab blk,Blank,Lab,Sediment,20MC,PFHxA,0.00E+00,0,3.32E+05,1
20MC Sed 2 Grp A field blk,Blank,Field,Sediment,20MC,PFHxA,0.00E+00,0,8.04E+04,1
20MC Sed 2 Grp A rep 1,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,1.33E+05,0.9946
20MC Sed 2 Grp A rep 2,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,1.56E+05,1.0023
20MC Sed 2 Grp A rep 3,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,8.25E+04,0.9943
20MC Sed 3 Grp C lab blk,Blank,Lab,Sediment,20MC,PFHxA,0.00E+00,0,9.11E+04,1
20MC Sed 3 Grp C field blk,Blank,Field,Sediment,20MC,PFHxA,2.51E+03,2.89,1.14E+05,1
20MC Sed 3 Grp C rep 1,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,1.26E+05,0.9937
20MC Sed 3 Grp C rep 2,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,8.42E+04,1.0376
20MC Sed 3 Grp C rep 3,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,1.34E+05,1.0013
20MC Sed 1 Grp B method blk,Blank,Lab,Sediment,20MC,PFHxA,0.00E+00,0,4.59E+04,1
20MC Sed 1 Grp B field blk,Blank,Field,Sediment,20MC,PFHxA,3.30E+03,2.9,4.17E+05,1
20MC Sed 1 Grp B rep 1,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,5.29E+04,0.9924
20MC Sed 1 Grp B rep 2,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,2.34E+04,0.9884
20MC Sed 1 Grp B rep 3,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,2.40E+04,1.0116
NIA Sed 2 Grp F method blk 2x dil,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,8.19E+04,1
NIA Sed 2 Grp F field blk 2x dil,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,1.48E+05,1
NIA Sed 2 Grp F rep 1 20x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,4.12E+05,1.0192
NIA Sed 2 Grp F rep 2 20x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,4.56E+05,1.0085
NIA Sed 2 Grp F rep 3 20x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,5.71E+05,1.0256
NIA HMBK Grp F 2x dil,Blank,Lab,Sediment,NIA,PFHxA,5.29E+03,2.87,6.63E+05,1
NIA BDBK Grp F 2x dil,Blank,Field,Sediment,NIA,PFHxA,4.20E+03,2.88,6.24E+05,1
NIA Sed 3 Grp F method blk 2x dil,Blank,Lab,Sediment,NIA,PFHxA,4.76E+03,2.88,6.49E+05,1
NIA Sed 3 Grp F field blk 2x dil,Blank,Field,Sediment,NIA,PFHxA,5.66E+03,2.85,7.76E+05,1
NIA Sed 3 Grp F rep 1 20x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,6.52E+05,1
NIA Sed 3 Grp F rep 2 20x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,6.27E+05,1.0103
NIA Sed 3 Grp F rep 3 20x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,7.15E+05,1.0548
NIA Sed 1 Grp E method blk 2x dil,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,4.21E+05,1
NIA Sed 1 Grp E field blk 2x dil,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,2.80E+05,1
NIA Sed 1 Grp E rep 1 20x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,5.86E+05,1.0081
NIA Sed 1 Grp E rep 2 20x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,6.33E+05,0.9999
NIA Sed 1 Grp E rep 3 20x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,5.97E+05,1.0080
NIA Sed 3 rep 1 2x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,2.64,3.15E+05,1
NIA Sed 3 rep 2 2x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,2.68E+05,1.0103
NIA Sed 3 rep 3 2x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,2.62,2.43E+05,1.0548
NIA Sed 1 rep 1 2x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,1.69E+05,1.0081
NIA Sed 1 rep 2 2x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,1.07E+05,0.9999
NIA Sed 1 rep 3 2x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,1.14E+05,1.0080
NIA Sed 2 Grp F rep 1 2x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,1.05E+05,1.0192
NIA Sed 2 Grp F rep 2 2x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,1.00E+05,1.0085
NIA Sed 2 Grp F rep 3 2x dil,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,8.72E+04,1.0256
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.51E+04,3.03,4.68E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.70E+04,3.04,5.59E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,7.37E+04,3.03,5.74E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.37E+05,3.01,4.70E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.34E+05,3.05,4.49E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,6.41E+05,3.01,5.29E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.32E+06,3.03,5.18E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.13E+06,3.03,1.41E+06,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.23E+06,3.01,5.37E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,5.12E+03,3.03,3.11E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.28E+04,3.01,3.59E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.22E+04,3.05,3.53E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,9.36E+04,3,3.29E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.51E+05,3.02,3.58E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.13E+05,3.02,3.82E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,9.17E+05,3.02,3.57E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.57E+06,3,1.02E+06,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,3.15E+06,3.02,3.84E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,6.45E+06,3.03,4.31E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,0.00E+00,0,9.03E+04,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.19E+04,3.02,1.29E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.78E+04,3,1.55E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.40E+04,2.99,2.03E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,8.57E+04,3,1.93E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.56E+05,3.01,2.31E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,5.85E+05,3.01,2.24E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,9.10E+05,3.03,7.84E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.85E+06,3.01,2.58E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,3.92E+06,3,2.79E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,9.03E+03,2.98,2.31E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.36E+04,3,2.86E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,3.83E+04,2.99,2.58E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,7.03E+04,2.98,2.63E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.24E+05,3,2.60E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.13E+05,3.01,3.28E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,7.38E+05,2.98,3.25E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.16E+06,2.98,7.35E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.80E+06,2.98,3.53E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.84E+06,2.98,2.81E+05,1
20MC water ext 1 lab blank,Blank,Lab,Water,20MC,PFHpA,1.40E+04,3.01,4.89E+05,1
20MC water ext 1 field blank,Blank,Field,Water,20MC,PFHpA,1.32E+04,3.03,3.99E+05,1
20MC water ext 1 rep 1,Sample,Field,Water,20MC,PFHpA,3.02E+04,3.02,5.59E+05,100
20MC water ext 1 rep 2,Sample,Field,Water,20MC,PFHpA,3.27E+04,3.04,5.16E+05,100
20MC water ext 1 rep 3,Sample,Field,Water,20MC,PFHpA,3.43E+04,3.02,4.29E+05,100
20MC water ext 2 lab blank,Blank,Lab,Water,20MC,PFHpA,1.35E+04,2.97,3.37E+05,1
20MC water ext 2 field blank,Blank,Field,Water,20MC,PFHpA,3.15E+04,3.01,4.05E+05,1
20MC water ext 2 rep 1,Sample,Field,Water,20MC,PFHpA,3.99E+04,3.04,5.60E+05,100
20MC water ext 2 rep 2,Sample,Field,Water,20MC,PFHpA,4.07E+04,3.03,5.43E+05,100
20MC water ext 2 rep 3,Sample,Field,Water,20MC,PFHpA,2.64E+04,3.04,4.37E+05,100
NIA water ext Grp E lab blank,Blank,Lab,Water,NIA,PFHpA,1.57E+04,3,1.68E+06,1
NIA water ext Grp E Field blank,Blank,Field,Water,NIA,PFHpA,1.20E+04,3.01,1.57E+06,1
NIA water ext Grp E rep 1,Sample,Field,Water,NIA,PFHpA,2.38E+05,3.02,1.72E+06,100
NIA water ext Grp E rep 2,Sample,Field,Water,NIA,PFHpA,2.06E+05,3.03,1.49E+06,100
NIA water ext Grp E rep 3,Sample,Field,Water,NIA,PFHpA,2.46E+05,3.02,1.80E+06,100
NIA water ext Grp F lab blank,Blank,Lab,Water,NIA,PFHpA,1.04E+04,3.01,1.11E+06,1
NIA water ext Grp F Field blank,Blank,Field,Water,NIA,PFHpA,9.24E+03,3.04,1.91E+06,1
NIA water ext Grp F rep 1,Sample,Field,Water,NIA,PFHpA,2.47E+05,3.01,1.26E+06,100
NIA water ext Grp F rep 2,Sample,Field,Water,NIA,PFHpA,2.55E+05,3.02,1.73E+06,100
NIA water ext Grp F rep 3,Sample,Field,Water,NIA,PFHpA,1.93E+05,3.03,1.38E+06,100
NIA water ext Grp D lab blank,Blank,Lab,Water,NIA,PFHpA,7.18E+03,3.03,9.86E+05,1
NIA water ext Grp D Field blank,Blank,Field,Water,NIA,PFHpA,1.01E+04,3.04,1.35E+06,1
NIA water ext Grp D rep 1,Sample,Field,Water,NIA,PFHpA,1.73E+05,3,1.25E+06,100
NIA water ext Grp D rep 2,Sample,Field,Water,NIA,PFHpA,1.93E+05,3.01,1.29E+06,100
NIA water ext Grp D rep 3,Sample,Field,Water,NIA,PFHpA,2.11E+05,3.01,1.25E+06,100
NIA water ext Grp D spike,Spike,Field,Water,NIA,PFHpA,1.73E+06,3,9.04E+05,1
NIA water ext Grp E spike,Spike,Field,Water,NIA,PFHpA,8.29E+05,3,1.32E+06,1
20MC water ext 2 spike,Spike,Field,Water,20MC,PFHpA,1.48E+06,3.02,4.47E+05,1
20MC water ext 1 spike,Spike,Field,Water,20MC,PFHpA,1.15E+06,3.01,3.64E+05,1
20MC blender blk Grp B,Blank,Blender,Biota,20MC,PFHpA,1.19E+04,3.06,4.77E+05,1
20MC catfish Grp B rep 1,Sample,Blender,Biota,20MC,PFHpA,2.78E+04,3.02,3.82E+05,1.0748
20MC catfish Grp B rep 2,Sample,Blender,Biota,20MC,PFHpA,1.39E+04,2.95,5.04E+05,1.009
20MC catfish Grp B rep 3,Sample,Blender,Biota,20MC,PFHpA,6.34E+03,2.99,3.63E+05,1.0164
20MC snail Grp B rep 1,Sample,Blender,Biota,20MC,PFHpA,7.22E+03,3.03,3.98E+05,1.0074
