Sample Name,Sample Type,Sample group,Matrix,Location,Compound,Analyte peak area,Internal standard peak area,Sample mass
20MC_4 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,2.99E+05,2.86E+05,
20MC_10 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,5.98E+05,2.22E+05,
20MC_20 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,1.28E+06,2.56E+05,
20MC_40 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,2.27E+06,2.37E+05,
20MC_100 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,4.48E+06,1.74E+05,
20MC MeOH Blank 2,Blank,Lab,N/A,20MC,PFOS,2.37E+04,6.67E+02,
20MC water lab blank,Blank,Lab,Water,20MC,PFOS,8.97E+03,2.86E+05,
20MC water field blank,Blank,Field,Water,20MC,PFOS,1.04E+04,3.14E+05,
20MC water sample 1,Sample,Field,Water,20MC,PFOS,8.52E+03,2.93E+05,
20MC water sample 2,Sample,Field,Water,20MC,PFOS,7.72E+03,2.04E+05,
20MC water sample 3,Sample,Field,Water,20MC,PFOS,9.90E+03,2.25E+05,
20MC water spike 1,Spike,Field,Water,20MC,PFOS,1.97E+05,3.04E+05,
20MC water spike 2,Spike,Field,Water,20MC,PFOS,3.89E+05,2.93E+05,
NIA water lab blank,Blank,Lab,Water,NIA,PFOS,6.87E+03,2.67E+05,
NIA water field blank,Blank,Field,Water,NIA,PFOS,7.27E+03,1.98E+05,
NIA water sample 1,Sample,Field,Water,NIA,PFOS,5.72E+04,1.95E+05,
NIA water sample 2,Sample,Field,Water,NIA,PFOS,3.39E+04,2.40E+05,
NIA water sample 3,Sample,Field,Water,NIA,PFOS,3.31E+04,1.96E+05,
NIA water sample 4,Sample,Field,Water,NIA,PFOS,5.10E+04,2.07E+05,
NIA water field spike 1,Spike,Field,Water,NIA,PFOS,3.38E+05,2.38E+05,
NIA water field spike 2,Spike,Field,Water,NIA,PFOS,4.91E+05,1.90E+05,
20MC B7 Shell Sample 1,Sample,Pestle,Biota,20MC,PFOS,4.97E+04,2.25E+05,
20MC B8 Shell Sample 2,Sample,Pestle,Biota,20MC,PFOS,4.44E+04,2.10E+05,
20MC B9 Shell Sample 3,Sample,Pestle,Biota,20MC,PFOS,4.83E+04,2.11E+05,
20MC A1 Sediment Field Blank,Blank,Field,Sediment,20MC,PFOS,7.20E+03,2.06E+05,
20MC A2 Sediment Spike,Spike,Lab,Sediment,20MC,PFOS,1.02E+05,2.09E+05,
20MC A3 Sediment Sample,Sample,Field,Sediment,20MC,PFOS,1.16E+04,2.48E+05,
20MC A4 Biota Lab Blank,Blank,Lab,Biota,20MC,PFOS,4.26E+04,2.15E+05,
20MC A5 Homogenization Blank,Blank,Homogenizer,Biota,20MC,PFOS,5.78E+04,2.99E+05,
20MC A6 Biota Spike,Spike,Homogenizer,Biota,20MC,PFOS,1.39E+05,3.08E+05,
20MC A7 Biota Bug,Sample,Homogenizer,Biota,20MC,PFOS,6.18E+04,2.94E+05,
20MC A8 Biota Sunfish,Sample,Homogenizer,Biota,20MC,PFOS,8.44E+04,2.71E+05,
NIA E Biota Lab Lab Blank,Blank,Lab,Biota,NIA,PFOS,7.61E+03,2.45E+05,
NIA E Biota Homogenized Lab Blank,Blank,Homogenizer,Biota,NIA,PFOS,8.94E+03,3.10E+05,
NIA E Biota Spike,Spike,Homogenizer,Biota,NIA,PFOS,4.45E+05,3.14E+05,
NIA E Biota Bugs Sample,Sample,Homogenizer,Biota,NIA,PFOS,1.10E+05,3.07E+05,
NIA E Biota Shrimps Sample,Sample,Homogenizer,Biota,NIA,PFOS,3.92E+05,2.85E+05,
NIA E Sediment Sand Field Blank,Blank,Field,Sediment,NIA,PFOS,7.59E+03,2.31E+05,
NIA E Sediment Sand Lab Blank,Blank,Lab,Sediment,NIA,PFOS,8.18E+03,2.56E+05,
NIA E Sediment Sample 1,Sample,Field,Sediment,NIA,PFOS,1.55E+05,2.01E+05,
NIA E Sediment Sample 2,Sample,Field,Sediment,NIA,PFOS,1.23E+05,2.08E+05,
NIA E Sediment Sample 3,Sample,Field,Sediment,NIA,PFOS,1.21E+05,2.31E+05,
NIA E Sediment Sand Spike,Spike,Lab,Sediment,NIA,PFOS,5.13E+05,2.04E+05,
NIA-G-field sand blank,Blank,Field,Sediment,NIA,PFOS,1.85E+04,4.20E+04,
NIA-G-lab send blank,Blank,Lab,Sediment,NIA,PFOS,1.84E+04,4.73E+04,
NIA-G-sediment sample,Sample,Field,Sediment,NIA,PFOS,1.14E+05,4.54E+04,
NIA-G-sand spike,Spike,Lab,Sediment,NIA,PFOS,3.21E+05,3.80E+04,
NIA G Shrimp Lab Blank 2x,Blank,Lab,Biota,NIA,PFOS,7.74E+03,2.10E+05,
NIA G Shrimp Homogenized Blank 2x,Blank,Homogenizer,Biota,NIA,PFOS,8.92E+03,2.73E+05,
NIA G Shrimp Sample 2x,Sample,Homogenizer,Biota,NIA,PFOS,3.47E+05,2.16E+05,
NIA G Shrimp Biota Spike 2x,Spike,Homogenizer,Biota,NIA,PFOS,4.69E+05,2.16E+05,
NIA G Catfish Lab Blank 20x,Blank,Homogenizer,Biota,NIA,PFOS,5.65E+03,2.18E+05,
NIA G Catfish Homogenized Blank 20x,Blank,Homogenizer,Biota,NIA,PFOS,1.53E+04,2.02E+05,
NIA G Catfish A Sample 20x,Sample,Homogenizer,Biota,NIA,PFOS,2.39E+04,2.59E+05,
NIA G Catfish B Sample 20x,Sample,Homogenizer,Biota,NIA,PFOS,5.48E+04,2.34E+05,
NIA G Catfish C Sample 20x,Sample,Homogenizer,Biota,NIA,PFOS,5.34E+04,2.62E+05,
NIA G Catfish Biota Spike 2x,Spike,Homogenizer,Biota,NIA,PFOS,5.18E+05,2.17E+05,
NIA G Sediment Lab Blank,Blank,Lab,Sediment,NIA,PFOS,6.03E+03,2.37E+05,
NIA G Sediment Field Blank,Blank,Field,Sediment,NIA,PFOS,6.16E+03,1.85E+05,
NIA G Sediment Sample 2x,Sample,Field,Sediment,NIA,PFOS,8.31E+04,2.46E+05,
NIA G Sediment Spike 2x,Spike,Lab,Sediment,NIA,PFOS,4.03E+05,2.37E+05,
NIA I Sun fish Homogenized blank 2x,Blank,Homogenizer,Biota,NIA,PFOS,6.36E+03,1.63E+05,
NIA I Sun fish spike 2x,Spike,Homogenizer,Biota,NIA,PFOS,7.38E+04,2.59E+05,
NIA I Sun fish sample 4 20x,Sample,Homogenizer,Biota,NIA,PFOS,8.36E+04,2.98E+05,
NIA I Sun fish sample 1 20x,Sample,Homogenizer,Biota,NIA,PFOS,1.02E+04,2.95E+05,
Nia I Sun Fish sample 20x,Sample,Homogenizer,Biota,NIA,PFOS,6.30E+04,2.96E+05,
NIA I Sun fish sample Homo blank,Blank,Homogenizer,Biota,NIA,PFOS,6.19E+05,1.61E+05,
NIA F shrimp Sample,Sample,Homogenizer,Biota,NIA,PFOS,5.98E+05,2.52E+05,
NIA F catfish A sample,Sample,Homogenizer,Biota,NIA,PFOS,3.25E+05,2.67E+05,
NIA F catfish B sample,Sample,Homogenizer,Biota,NIA,PFOS,2.37E+05,2.69E+05,
NIA F catfish C sample,Sample,Homogenizer,Biota,NIA,PFOS,3.29E+05,2.67E+05,
NIA F biota spike,Spike,Homogenizer,Biota,NIA,PFOS,7.12E+05,2.18E+05,
NIA H sedment field blank2,Blank,Field,Sediment,NIA,PFOS,6.64E+03,2.80E+05,
NIA H sedment lab spike1,Spike,Lab,Sediment,NIA,PFOS,4.54E+05,2.85E+05,
NIA H sedment sample2,Sample,Field,Sediment,NIA,PFOS,6.67E+04,2.82E+05,
NIA H sedment field blank1,Blank,Field,Sediment,NIA,PFOS,1.11E+04,2.91E+05,
NIA H sedment lab spike2,Spike,Lab,Sediment,NIA,PFOS,5.57E+05,1.72E+05,
NIA H sedment lab blank2,Blank,Lab,Sediment,NIA,PFOS,8.00E+03,2.71E+05,
NIA H sedment lab blank1,Blank,Lab,Sediment,NIA,PFOS,1.09E+04,2.58E+05,
NIA H sedment sample1,Sample,Field,Sediment,NIA,PFOS,8.30E+04,2.44E+05,
NIA F lab homogenized blank 2X,Blank,Lab,Biota,NIA,PFOS,1.04E+04,2.68E+05,
NIA F lab lab blank 2X,Blank,Lab,Biota,NIA,PFOS,8.96E+03,2.95E+05,
NIA F Sediment field blank,Blank,Field,Sediment,NIA,PFOS,1.02E+04,2.77E+05,
NIA F Sediment lab blank,Blank,Lab,Sediment,NIA,PFOS,1.34E+04,2.94E+05,
NIA F Sediment Sample,Sample,Field,Sediment,NIA,PFOS,1.53E+05,2.83E+05,
NIA F Sediment Spike,Spike,Lab,Sediment,NIA,PFOS,4.96E+05,2.94E+05,
NIA I Sediment field blank,Blank,Field,Sediment,NIA,PFOS,2.80E+04,2.75E+05,
NIA I Sediment FIeld Spike,Spike,Field,Sediment,NIA,PFOS,7.52E+03,2.16E+05,
NIA MeOH Blank,Blank,Lab,N/A,NIA,PFOS,2.98E+04,1.63E+03,
NIA_0 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,1.07E+04,3.21E+05,
NIA_0.2 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,3.79E+04,3.28E+05,
NIA_0.4 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,6.60E+04,3.23E+05,
NIA_1 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,1.20E+05,3.30E+05,
NIA_2 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,1.85E+05,3.32E+05,
NIA_4 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,3.38E+05,3.32E+05,
NIA_10 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,8.28E+05,3.21E+05,
NIA_20 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,1.48E+06,3.00E+05,
NIA_40 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,2.54E+06,2.71E+05,
NIA_100 ng/mL,Calibration Curve,Lab,N/A,NIA,PFOS,4.88E+06,1.88E+05,
NIA H sunfish water blank,Blank,Homogenizer,Biota,NIA,PFOS,1.32E+04,2.98E+05,
NIA H sunfish homogenizer blank,Blank,Homogenizer,Biota,NIA,PFOS,1.33E+04,2.95E+05,
NIA H sunfish sample 1 2x,Sample,Homogenizer,Biota,NIA,PFOS,3.59E+06,2.12E+05,
NIA H sunfish sample 2 2x,Sample,Homogenizer,Biota,NIA,PFOS,1.74E+06,2.60E+05,
NIA H sunfish sample 3 2x,Sample,Homogenizer,Biota,NIA,PFOS,2.59E+06,2.42E+05,
NIA H sunfish spike,Spike,Homogenizer,Biota,NIA,PFOS,5.38E+05,3.01E+05,
NIA G biota catfish 1B 2x,Sample,Homogenizer,Biota,NIA,PFOS,3.75E+05,2.35E+05,
NIA G biota catfish 1C 2x,Sample,Homogenizer,Biota,NIA,PFOS,2.62E+05,2.48E+05,
NIA I Sunfish sample 1 2x,Sample,Homogenizer,Biota,NIA,PFOS,1.03E+06,2.46E+05,
NIA I Sunfish sample 2 2x,Sample,Homogenizer,Biota,NIA,PFOS,7.44E+05,3.02E+05,
NIA I Sunfish sample 3 2x,Sample,Homogenizer,Biota,NIA,PFOS,4.08E+05,3.94E+05,
NIA I Sunfish sample 4 2x,Sample,Homogenizer,Biota,NIA,PFOS,5.66E+05,3.21E+05,
20MC C1 sediment lab blank,Blank,Lab,Sediment,20MC,PFHxA,-1.59E+04,1.07E+06,
20MC C2 sediment field blank,Blank,Field,Sediment,20MC,PFHxA,-1.00E+04,9.47E+05,
20MC C3 sediment field sample,Sample,Field,Sediment,20MC,PFHxA,2.50E+05,1.12E+06,
20MC C4 sediment sand spike,Spike,Lab,Sediment,20MC,PFHxA,1.23E+06,9.24E+05,
20MC C1 biota catfish 1,Sample,Homogenizer,Biota,20MC,PFHxA,5.11E+04,1.10E+06,
20MC C4 biota catfish 2,Sample,Homogenizer,Biota,20MC,PFHxA,-1.87E+04,9.74E+05,
20MC C2 biota bug/beetle,Sample,Homogenizer,Biota,20MC,PFHxA,1.62E+06,1.15E+06,
20MC C3 biota catepillar,Sample,Homogenizer,Biota,20MC,PFHxA,-1.89E+04,1.37E+06,
20MC C5 biota insect,Sample,Homogenizer,Biota,20MC,PFHxA,-2.55E+04,1.36E+06,
20MC C6 biota homogenization blank,Blank,Homogenizer,Biota,20MC,PFHxA,3.86E+04,1.46E+06,
20MC C7 biota lab blank,Blank,Lab,Biota,20MC,PFHxA,-1.30E+04,1.42E+06,
20MC D1 Hard-shell sample,Sample,Pestle,Biota,20MC,PFHxA,2.42E+04,1.35E+06,
20MC D2 Catfish sample,Sample,Homogenizer,Biota,20MC,PFHxA,3.03E+04,1.33E+06,
20MC D3 Biota spike,Spike,Homogenizer,Biota,20MC,PFHxA,-2.14E+04,8.15E+05,
20MC D4 Sediment Lab Blank,Blank,Lab,Sediment,20MC,PFHxA,-1.12E+03,1.56E+06,
20MC D5 Sediment Field Blank,Blank,Field,Sediment,20MC,PFHxA,-1.65E+04,1.63E+06,
20MC D6 Sediment Spike,Spike,Lab,Sediment,20MC,PFHxA,2.37E+06,1.31E+06,
20MC D7 Sediment Sample,Sample,Field,Sediment,20MC,PFHxA,2.74E+04,1.57E+06,
20MC B1 Sediment Lab blank,Blank,Lab,Sediment,20MC,PFHxA,-7.22E+04,1.19E+06,
20MC B2 Sediment Sample,Sample,Field,Sediment,20MC,PFHxA,5.43E+04,1.43E+06,
20MC B3 Sand Spike,Spike,Lab,Sediment,20MC,PFHxA,1.91E+06,1.14E+06,
20MC B4 Crayfish Homoblank,Blank,Pestle,Biota,20MC,PFHxA,-2.92E+04,1.57E+06,
20MC B5 Crayfish MTBE Sample,Sample,Pestle,Biota,20MC,PFHxA,1.81E+04,1.26E+06,
20MC B6 Crayfish Spike,Spike,Pestle,Biota,20MC,PFHxA,1.36E+06,1.45E+06,
20MC MeOH Blank 1,Blank,Lab,N/A,20MC,PFHxA,-6.11E+04,3.80E+03,
20MC_0 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,-1.60E+04,1.25E+06,
20MC_0.2 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,9.52E+04,1.33E+06,
20MC_0.4 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,1.73E+05,1.39E+06,
20MC_1 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,3.24E+05,1.43E+06,
20MC_2 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,7.70E+05,1.38E+06,
20MC_4 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,1.32E+06,1.38E+06,
20MC_10 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,2.83E+06,1.23E+06,
20MC_20 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,6.95E+06,1.45E+06,
20MC_40 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,1.16E+07,1.29E+06,
20MC_100 ng/mL,Calibration Curve,Lab,N/A,20MC,PFHxA,2.45E+07,1.06E+06,
20MC MeOH Blank 2,Blank,Lab,N/A,20MC,PFHxA,2.00E+04,4.15E+03,
20MC water lab blank,Blank,Lab,Water,20MC,PFHxA,-1.66E+04,1.40E+06,
20MC water field blank,Blank,Field,Water,20MC,PFHxA,-1.76E+04,1.54E+06,
20MC water sample 1,Sample,Field,Water,20MC,PFHxA,2.93E+04,1.32E+06,
20MC water sample 2,Sample,Field,Water,20MC,PFHxA,4.24E+04,1.11E+06,
20MC water sample 3,Sample,Field,Water,20MC,PFHxA,4.53E+04,1.05E+06,
20MC water spike 1,Spike,Field,Water,20MC,PFHxA,3.38E+06,1.60E+06,
20MC water spike 2,Spike,Field,Water,20MC,PFHxA,3.13E+06,1.41E+06,
NIA water lab blank,Blank,Lab,Water,NIA,PFHxA,-4.30E+03,1.57E+06,
NIA water field blank,Blank,Field,Water,NIA,PFHxA,1.30E+04,1.30E+06,
NIA water sample 1,Sample,Field,Water,NIA,PFHxA,3.76E+05,8.67E+05,
NIA water sample 2,Sample,Field,Water,NIA,PFHxA,2.47E+05,1.38E+06,
NIA water sample 3,Sample,Field,Water,NIA,PFHxA,2.26E+05,1.15E+06,
NIA water sample 4,Sample,Field,Water,NIA,PFHxA,3.08E+05,9.81E+05,
NIA water field spike 1,Spike,Field,Water,NIA,PFHxA,2.01E+06,1.06E+06,
NIA water field spike 2,Spike,Field,Water,NIA,PFHxA,3.73E+06,1.18E+06,
20MC B7 Shell Sample 1,Sample,Pestle,Biota,20MC,PFHxA,1.47E+04,1.51E+06,
20MC B8 Shell Sample 2,Sample,Pestle,Biota,20MC,PFHxA,1.60E+04,1.42E+06,
20MC B9 Shell Sample 3,Sample,Pestle,Biota,20MC,PFHxA,1.85E+04,1.40E+06,
20MC A1 Sediment Field Blank,Blank,Field,Sediment,20MC,PFHxA,1.07E+05,1.18E+06,
20MC A2 Sediment Spike,Spike,Lab,Sediment,20MC,PFHxA,5.70E+05,9.87E+05,
20MC A3 Sediment Sample,Sample,Field,Sediment,20MC,PFHxA,9.58E+04,1.42E+06,
20MC A4 Biota Lab Blank,Blank,Lab,Biota,20MC,PFHxA,-1.76E+04,1.36E+06,
20MC A5 Homogenization Blank,Blank,Homogenizer,Biota,20MC,PFHxA,-1.26E+04,1.59E+06,
20MC A6 Biota Spike,Spike,Homogenizer,Biota,20MC,PFHxA,1.39E+05,1.74E+06,
20MC A7 Biota Bug,Sample,Homogenizer,Biota,20MC,PFHxA,-1.54E+04,1.66E+06,
20MC A8 Biota Sunfish,Sample,Homogenizer,Biota,20MC,PFHxA,-5.36E+04,1.67E+06,
NIA E Biota Lab Lab Blank,Blank,Lab,Biota,NIA,PFHxA,-3.90E+04,1.20E+06,
NIA E Biota Homogenized Lab Blank,Blank,Homogenizer,Biota,NIA,PFHxA,-1.43E+04,1.55E+06,
NIA E Biota Spike,Spike,Homogenizer,Biota,NIA,PFHxA,1.74E+06,1.64E+06,
NIA E Biota Bugs Sample,Sample,Homogenizer,Biota,NIA,PFHxA,-1.75E+04,1.73E+06,
NIA E Biota Shrimps Sample,Sample,Homogenizer,Biota,NIA,PFHxA,-3.98E+04,1.53E+06,
NIA E Sediment Sand Field Blank,Blank,Field,Sediment,NIA,PFHxA,-2.56E+04,1.16E+06,
NIA E Sediment Sand Lab Blank,Blank,Lab,Sediment,NIA,PFHxA,-9.94E+03,1.32E+06,
NIA E Sediment Sample 1,Sample,Field,Sediment,NIA,PFHxA,4.62E+04,1.04E+06,
NIA E Sediment Sample 2,Sample,Field,Sediment,NIA,PFHxA,3.25E+04,1.05E+06,
NIA E Sediment Sample 3,Sample,Field,Sediment,NIA,PFHxA,2.83E+04,1.11E+06,
NIA E Sediment Sand Spike,Spike,Lab,Sediment,NIA,PFHxA,2.23E+06,1.01E+06,
NIA-G-field sand blank,Blank,Field,Sediment,NIA,PFHxA,2.28E+04,2.08E+05,
NIA-G-lab send blank,Blank,Lab,Sediment,NIA,PFHxA,-7.29E+03,2.42E+05,
NIA-G-sediment sample,Sample,Field,Sediment,NIA,PFHxA,1.97E+04,2.17E+05,
NIA-G-sand spike,Spike,Lab,Sediment,NIA,PFHxA,1.72E+06,2.02E+05,
NIA G Shrimp Lab Blank 2x,Blank,Lab,Biota,NIA,PFHxA,-1.43E+04,1.13E+06,
NIA G Shrimp Homogenized Blank 2x,Blank,Homogenizer,Biota,NIA,PFHxA,2.27E+04,1.39E+06,
NIA G Shrimp Sample 2x,Sample,Homogenizer,Biota,NIA,PFHxA,2.05E+04,1.23E+06,
NIA G Shrimp Biota Spike 2x,Spike,Homogenizer,Biota,NIA,PFHxA,1.85E+06,1.17E+06,
NIA G Catfish Lab Blank 20x,Blank,Homogenizer,Biota,NIA,PFHxA,-8.57E+03,1.21E+06,
NIA G Catfish Homogenized Blank 20x,Blank,Homogenizer,Biota,NIA,PFHxA,-1.93E+04,1.08E+06,
NIA G Catfish A Sample 20x,Sample,Homogenizer,Biota,NIA,PFHxA,-2.44E+04,1.36E+06,
NIA G Catfish B Sample 20x,Sample,Homogenizer,Biota,NIA,PFHxA,-1.65E+04,1.32E+06,
NIA G Catfish C Sample 20x,Sample,Homogenizer,Biota,NIA,PFHxA,-1.24E+04,1.49E+06,
NIA G Catfish Biota Spike 2x,Spike,Homogenizer,Biota,NIA,PFHxA,1.55E+06,1.14E+06,
NIA G Sediment Lab Blank,Blank,Lab,Sediment,NIA,PFHxA,5.57E+04,1.28E+06,
NIA G Sediment Field Blank,Blank,Field,Sediment,NIA,PFHxA,-6.52E+03,1.03E+06,
NIA G Sediment Sample 2x,Sample,Field,Sediment,NIA,PFHxA,2.37E+04,1.18E+06,
NIA G Sediment Spike 2x,Spike,Lab,Sediment,NIA,PFHxA,1.76E+06,1.23E+06,
NIA I Sun fish Homogenized blank 2x,Blank,Homogenizer,Biota,NIA,PFHxA,1.56E+04,1.51E+06,
NIA I Sun fish spike 2x,Spike,Homogenizer,Biota,NIA,PFHxA,2.46E+05,1.29E+06,
NIA I Sun fish sample 4 20x,Sample,Homogenizer,Biota,NIA,PFHxA,-1.86E+04,1.55E+06,
NIA I Sun fish sample 1 20x,Sample,Homogenizer,Biota,NIA,PFHxA,-5.22E+03,8.43E+05,
Nia I Sun Fish sample 20x,Sample,Homogenizer,Biota,NIA,PFHxA,-1.32E+04,1.50E+06,
NIA I Sun fish sample Homo blank,Blank,Homogenizer,Biota,NIA,PFHxA,-1.25E+04,1.66E+06,
NIA F shrimp Sample,Sample,Homogenizer,Biota,NIA,PFHxA,-1.85E+04,1.38E+06,
NIA F catfish A sample,Sample,Homogenizer,Biota,NIA,PFHxA,-8.09E+03,1.39E+06,
NIA F catfish B sample,Sample,Homogenizer,Biota,NIA,PFHxA,-1.01E+04,1.34E+06,
NIA F catfish C sample,Sample,Homogenizer,Biota,NIA,PFHxA,-3.66E+03,1.32E+06,
NIA F biota spike,Spike,Homogenizer,Biota,NIA,PFHxA,1.75E+06,1.14E+06,
NIA H sedment field blank2,Blank,Field,Sediment,NIA,PFHxA,-4.62E+03,1.46E+06,
NIA H sedment lab spike1,Spike,Lab,Sediment,NIA,PFHxA,1.82E+06,1.44E+06,
NIA H sedment sample2,Sample,Field,Sediment,NIA,PFHxA,-8.37E+03,1.47E+06,
NIA H sedment field blank1,Blank,Field,Sediment,NIA,PFHxA,-2.93E+04,1.47E+06,
NIA H sedment lab spike2,Spike,Lab,Sediment,NIA,PFHxA,2.25E+06,1.43E+06,
NIA H sedment lab blank2,Blank,Lab,Sediment,NIA,PFHxA,-4.94E+03,1.34E+06,
NIA H sedment lab blank1,Blank,Lab,Sediment,NIA,PFHxA,-2.54E+03,1.33E+06,
NIA H sedment sample1,Sample,Field,Sediment,NIA,PFHxA,3.77E+04,1.30E+06,
NIA F lab homogenized blank 2X,Blank,Lab,Biota,NIA,PFHxA,3.49E+04,1.42E+06,
NIA F lab lab blank 2X,Blank,Lab,Biota,NIA,PFHxA,-2.69E+04,1.54E+06,
NIA F Sediment field blank,Blank,Field,Sediment,NIA,PFHxA,-1.09E+04,1.49E+06,
NIA F Sediment lab blank,Blank,Lab,Sediment,NIA,PFHxA,1.23E+05,1.55E+06,
NIA F Sediment Sample,Sample,Field,Sediment,NIA,PFHxA,1.89E+05,1.59E+06,
NIA F Sediment Spike,Spike,Lab,Sediment,NIA,PFHxA,2.48E+06,1.64E+06,
NIA I Sediment field blank,Blank,Field,Sediment,NIA,PFHxA,-1.83E+04,1.43E+06,
NIA I Sediment FIeld Spike,Spike,Field,Sediment,NIA,PFHxA,-5.07E+03,1.14E+06,
NIA MeOH Blank,Blank,Lab,N/A,NIA,PFHxA,2.65E+04,4.47E+03,
NIA_0 ng/mL,Calibration Curve,Lab,N/A,NIA,PFHxA,-3.92E+04,1.67E+06,
NIA_0.2 ng/mL,Calibration Curve,Lab,N/A,NIA,PFHxA,1.12E+05,1.75E+06,
NIA_0.4 ng/mL,Calibration Curve,Lab,N/A,NIA,PFHxA,2.20E+05,1.79E+06,
NIA_1 ng/mL,Calibration Curve,Lab,N/A,NIA,PFHxA,4.29E+05,1.82E+06,
NIA_2 ng/mL,Calibration Curve,Lab,N/A,NIA,PFHxA,9.52E+05,1.73E+06,
NIA_4 ng/mL,Calibration Curve,Lab,N/A,NIA,PFHxA,1.68E+06,1.73E+06,
NIA_10 ng/mL,Calibration Curve,Lab,N/A,NIA,PFHxA,4.15E+06,1.69E+06,
NIA_20 ng/mL,Calibration Curve,Lab,N/A,NIA,PFHxA,8.06E+06,1.65E+06,
