Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Normalization factor,
20MC_GroupC_sediment_3,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,2.56E+04,3.56,0.9964,FALSE
20MC_GroupA_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFHxA,3.89E+03,3.58,3.14E+03,3.56,1,FALSE
20MC_GroupA_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFHxA,0.00E+00,0,7.57E+03,3.54,1,FALSE
20MC_GroupA_Crayfish_1_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,1.64E+04,3.56,1.0527,FALSE
20MC_GroupA_Crayfish_2_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,4.42E+02,3.56,8.88E+03,3.55,1.0751,FALSE
20MC_GroupA_Catfish_1_2xdilution,Sample,Blender,Biota,20MC,PFHxA,6.51E+02,3.54,8.61E+03,3.54,1.0718,FALSE
20MC_GroupA_Catfish_4_2xdilution,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,0,6.36E+03,3.55,1.152,FALSE
20MC_GroupA_Bug_3_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,4.56E+03,3.55,0.1101,FALSE
20MC_GroupA_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFHxA,6.56E+03,3.57,1.04E+05,3.56,1,FALSE
20MC_GroupA_sediment_field_blank,Blank,Field,Sediment,20MC,PFHxA,7.17E+03,3.58,4.21E+04,3.58,1,FALSE
20MC_GroupA_sediment_field_spike,Spike,Field,Sediment,20MC,PFHxA,4.06E+05,3.55,6.50E+04,3.56,1,FALSE
20MC_GroupA_sediment_sample1,Sample,Field,Sediment,20MC,PFHxA,7.84E+03,3.56,6.50E+04,3.56,0.9952,FALSE
20MC_GroupA_sediment_sample2,Sample,Field,Sediment,20MC,PFHxA,6.85E+03,3.56,5.22E+04,3.54,0.9943,FALSE
20MC_GroupA_sediment_sample3,Sample,Field,Sediment,20MC,PFHxA,5.99E+03,3.55,5.00E+04,3.54,0.9996,FALSE
20MC_GroupB_Bug_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,1.07E+03,3.59,1.09E+04,3.55,0.1,FALSE
20MC_GroupB_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFHxA,7.73E+02,3.54,7.40E+03,3.57,1,FALSE
20MC_GroupB_Bug_1_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,8.48E+02,3.58,1.34E+04,3.53,0.2389,FALSE
20MC_GroupB_Bug_2_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,9.34E+02,3.55,2.04E+04,3.54,0.0209,FALSE
20MC_GroupB_Bug_4_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,1.90E+02,3.55,5.10E+03,3.54,0.0209,FALSE
20MC_GroupB_Crayfish_4_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,7.09E+03,3.57,0.8841,FALSE
20MC_GroupB_Crayfish_5_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,6.25E+03,3.58,1.0013,FALSE
20MC_GroupB_Catfish_2_2xdilution,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,0,1.86E+03,3.55,1.9834,FALSE
20MC_GroupB_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFHxA,4.05E+03,3.57,8.73E+04,3.58,1,FALSE
20MC_GroupB_sediment_field_blank,Blank,Field,Sediment,20MC,PFHxA,8.72E+03,3.56,1.72E+05,3.56,1,FALSE
20MC_GroupB_sediment_field_spike,Spike,Field,Sediment,20MC,PFHxA,5.08E+05,3.56,1.62E+05,3.56,1,FALSE
20MC_GroupB_sediment_sample1,Sample,Field,Sediment,20MC,PFHxA,1.86E+04,3.56,1.53E+05,3.56,1.0172,FALSE
20MC_GroupB_sediment_sample2,Sample,Field,Sediment,20MC,PFHxA,1.01E+04,3.57,1.24E+05,3.56,1.0119,FALSE
20MC_GroupB_sediment_sample3,Sample,Field,Sediment,20MC,PFHxA,7.93E+03,3.55,1.24E+05,3.56,1.0063,FALSE
20MC_GroupC_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFHxA,5.46E+03,3.54,6.62E+04,3.55,1,FALSE
20MC_GroupC_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFHxA,6.17E+04,3.54,7.05E+04,3.54,1,FALSE
20MC_GroupC_Crayfish_3_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,1.66E+03,3.55,1.78E+04,3.58,0.8155,FALSE
20MC_GroupC_Blender_Blank_2xdilution,Blank,Blender,Biota,20MC,PFHxA,0.00E+00,0,1.45E+04,3.52,1,FALSE
20MC_GroupC_Bluegill_Sunfish_2xdilution,Sample,Blender,Biota,20MC,PFHxA,1.07E+03,3.56,2.00E+04,3.53,0.1946,FALSE
20MC_GroupC_Catfish_3_2xdilution,Sample,Blender,Biota,20MC,PFHxA,2.41E+03,3.52,1.62E+04,3.54,1.0773,FALSE
20MC_GroupC_Nymphs_3_2xdilution,Sample,Homogenizer,Biota,20MC,PFHxA,0.00E+00,0,1.41E+04,3.55,0.5289,FALSE
20MC_GroupC_Slug_2xdilution,Sample,Homogenizer,Biota,20MC,PFHxA,1.27E+03,3.53,1.46E+04,3.53,0.5593,FALSE
20MC_GroupC_Beetle_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,3.50E+03,3.53,1.06E+04,3.54,0.2705,FALSE
20MC_GroupC_Whirligig_2xdilution,Sample,Pestle,Biota,20MC,PFHxA,7.36E+02,3.53,8.17E+03,3.54,0.0547,FALSE
NIA_Water_Lab_Blank,Blank,Lab,Water,NIA,PFHxA,0.00E+00,0,1.14E+04,3.55,1,FALSE
NIA_Water_Field_Blank,Blank,Field,Water,NIA,PFHxA,1.29E+03,3.59,1.82E+04,3.56,1,FALSE
NIA_Water_Spike_1,Spike,Field,Water,NIA,PFHxA,1.52E+05,3.55,1.83E+04,3.55,1,FALSE
NIA_Water_Spike_2,Spike,Field,Water,NIA,PFHxA,2.08E+05,3.56,2.15E+04,3.55,1,FALSE
NIA_Water_Sample_1,Sample,Field,Water,NIA,PFHxA,5.71E+04,3.55,2.99E+04,3.55,100,FALSE
NIA_Water_Sample_2,Sample,Field,Water,NIA,PFHxA,8.56E+04,3.55,2.46E+04,3.55,100,FALSE
NIA_Water_Sample_3,Sample,Field,Water,NIA,PFHxA,5.22E+04,3.55,2.53E+04,3.56,100,FALSE
NIA_Water_Sample_4,Sample,Field,Water,NIA,PFHxA,5.60E+04,3.56,2.38E+04,3.55,100,FALSE
NIA_0 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,0.00E+00,0,2.00E+04,3.58,1,FALSE
NIA_0.2 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,3.71E+03,3.54,2.62E+04,3.55,1,FALSE
NIA_0.4 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,8.42E+03,3.56,3.64E+04,3.55,1,FALSE
NIA_1 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,1.77E+04,3.57,3.21E+04,3.54,1,FALSE
NIA_2 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,3.62E+04,3.56,4.44E+04,3.57,1,FALSE
NIA_4 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,1.01E+05,3.55,3.94E+04,3.55,1,FALSE
NIA_10 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,2.40E+05,3.55,4.09E+04,3.55,1,FALSE
NIA_20 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,4.48E+05,3.57,4.29E+04,3.56,1,FALSE
NIA_40 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,8.84E+05,3.55,4.68E+04,3.56,1,FALSE
NIA_100 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,2.20E+06,3.56,5.06E+04,3.57,1,FALSE
NIA_GroupF_Blender_Blank_2x,Blank,Blender,Biota,NIA,PFHxA,0.00E+00,0,9.17E+02,3.56,1,FALSE
NIA_GroupF_Biota_Spike_2x,Spike,Blender,Biota,NIA,PFHxA,6.40E+03,3.56,5.64E+03,3.58,1,FALSE
NIA_GroupF_Mortar_Blank_2x,Blank,Pestle,Biota,NIA,PFHxA,0.00E+00,0,8.90E+02,3.56,1,FALSE
NIA_GroupF_Homogenizer_Blank_2x,Blank,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,2.32E+03,3.54,1,FALSE
NIA_GroupF_Crayfish_20x,Sample,Pestle,Biota,NIA,PFHxA,0.00E+00,0,2.83E+03,3.57,1.338,FALSE
NIA_GroupF_Bug_20x,Sample,Pestle,Biota,NIA,PFHxA,4.61E+02,3.56,5.71E+03,3.55,0.2843,FALSE
NIA_GroupF_Shrimp_1_20x,Sample,Homogenizer,Biota,NIA,PFHxA,2.73E+02,3.56,2.21E+03,3.57,0.9854,FALSE
NIA_GroupF_Shrimp_2_20x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,2.38E+03,3.57,1.0054,FALSE
NIA_GroupF_Shrimp_3_20x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,1.26E+03,3.54,1.0363,FALSE
NIA_GroupF_Shrimp_4_20x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,3.05E+03,3.55,1.2382,FALSE
NIA_GroupF_Catfish_1A_20x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,3.03E+03,3.53,1.0587,FALSE
NIA_GroupF_Catfish_1B_20x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.45E+03,3.56,1.1866,FALSE
NIA_GroupF_Catfish_1C_20x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.26E+03,3.55,1.4201,FALSE
NIA_GroupF_Catfish_2_20x,Sample,Blender,Biota,NIA,PFHxA,2.56E+02,3.59,6.24E+03,3.55,0.4611,FALSE
NIA_GroupF_Catfish_3_20x,Sample,Blender,Biota,NIA,PFHxA,3.05E+02,3.61,7.36E+03,3.55,0.4665,FALSE
NIA_GroupF_Catfish_4_20x,Sample,Blender,Biota,NIA,PFHxA,5.11E+02,3.56,8.85E+03,3.56,0.424,FALSE
NIA_GroupF_Crayfish_2x,Sample,Pestle,Biota,NIA,PFHxA,2.36E+03,3.59,5.63E+03,3.58,1.338,FALSE
NIA_GroupF_Bug_2x,Sample,Pestle,Biota,NIA,PFHxA,0.00E+00,0,4.61E+03,3.55,0.2843,FALSE
NIA_GroupF_Shrimp_1_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,7.13E+02,3.57,0.9854,FALSE
NIA_GroupF_Shrimp_2_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,0.00E+00,0,1.0054,TRUE
NIA_GroupF_Shrimp_3_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,1.89E+03,3.62,1.0363,FALSE
NIA_GroupF_Shrimp_4_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,1.53E+03,3.57,1.2382,FALSE
NIA_GroupF_Catfish_1A_2x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,2.01E+03,3.61,1.0587,FALSE
NIA_GroupF_Catfish_1B_2x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,0.00E+00,0,1.1866,TRUE
NIA_GroupF_Catfish_1C_2x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,0.00E+00,0,1.4201,TRUE
NIA_GroupF_Catfish_2_2x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,0.00E+00,0,0.4611,TRUE
NIA_GroupF_Catfish_3_2x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,0.00E+00,0,0.4665,TRUE
NIA_GroupF_Catfish_4_2x,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,0.00E+00,0,0.424,TRUE
NIA_GroupD_Blender_Blank,Blank,Blender,Biota,NIA,PFHxA,1.15E+04,3.55,3.92E+04,3.55,1,FALSE
NIA_GroupD_Biota_Spike,Spike,Blender,Biota,NIA,PFHxA,9.37E+04,3.57,3.24E+04,3.57,1,FALSE
NIA_GroupD_Bluegill_1_20x,Sample,Blender,Biota,NIA,PFHxA,2.39E+03,3.56,3.21E+04,3.56,0.4212,FALSE
NIA_GroupD_Bluegill_2_20x,Sample,Blender,Biota,NIA,PFHxA,2.44E+03,3.56,3.76E+04,3.56,0.3059,FALSE
NIA_GroupD_Bluegill_3_20x,Sample,Blender,Biota,NIA,PFHxA,1.72E+03,3.58,2.74E+04,3.56,0.5911,FALSE
NIA_GroupD_Crayfish_1_20x,Sample,Pestle,Biota,NIA,PFHxA,2.11E+03,3.56,2.69E+04,3.56,1.0304,FALSE
NIA_GroupD_Crayfish_2_20x,Sample,Pestle,Biota,NIA,PFHxA,1.46E+03,3.57,2.20E+04,3.56,1.056,FALSE
NIA_GroupD_Crayfish_3_20x,Sample,Pestle,Biota,NIA,PFHxA,1.29E+03,3.6,2.01E+04,3.56,0.9936,FALSE
NIA_GroupD_Bug_20x,Sample,Pestle,Biota,NIA,PFHxA,1.95E+03,3.55,2.22E+04,3.54,0.2205,FALSE
NIA_GroupD_Bluegill_1_2x,Sample,Blender,Biota,NIA,PFHxA,1.56E+03,3.58,1.43E+04,3.58,0.4212,FALSE
NIA_GroupD_Bluegill_2_2x,Sample,Blender,Biota,NIA,PFHxA,2.52E+02,3.51,9.28E+03,3.59,0.3059,FALSE
NIA_GroupD_Bluegill_3_2x,Sample,Blender,Biota,NIA,PFHxA,4.74E+02,3.55,4.80E+03,3.54,0.5911,FALSE
NIA_GroupD_Crayfish_1_2x,Sample,Pestle,Biota,NIA,PFHxA,9.78E+02,3.56,4.75E+03,3.59,1.0304,FALSE
NIA_GroupD_Crayfish_2_2x,Sample,Pestle,Biota,NIA,PFHxA,6.33E+02,3.59,2.41E+03,3.55,1.056,FALSE
NIA_GroupD_Crayfish_3_2x,Sample,Pestle,Biota,NIA,PFHxA,2.18E+02,3.59,1.61E+03,3.53,0.9936,FALSE
NIA_GroupD_Bug_2x,Sample,Pestle,Biota,NIA,PFHxA,3.79E+02,3.54,2.17E+03,3.54,0.2205,FALSE
NIA_GroupD_sediment_lab_blank,Blank,Lab,Sediment,NIA,PFHxA,1.85E+02,3.58,2.59E+03,3.55,1,FALSE
NIA_GroupD_sediment_field_blank,Blank,Field,Sediment,NIA,PFHxA,6.64E+02,3.63,2.37E+03,3.58,1,FALSE
NIA_GroupD_sediment_spike,Spike,Field,Sediment,NIA,PFHxA,6.63E+03,3.62,1.43E+03,3.6,1,FALSE
NIA_GroupD_sediment_sample_1_20x,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,3.59E+03,3.55,1.0042,FALSE
NIA_GroupD_sediment_sample_2_20x,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,5.05E+03,3.59,1.0087,FALSE
NIA_GroupD_sediment_sample_3_20x,Sample,Field,Sediment,NIA,PFHxA,3.06E+02,3.57,6.62E+03,3.56,1.009,FALSE
NIA_GroupD_sediment_sample_1_2x,Sample,Field,Sediment,NIA,PFHxA,5.81E+03,3.56,1.27E+04,3.59,1.0042,FALSE
NIA_GroupD_sediment_sample_2_2x,Sample,Field,Sediment,NIA,PFHxA,3.09E+03,3.55,8.61E+03,3.56,1.0087,FALSE
NIA_GroupD_sediment_sample_3_2x,Sample,Field,Sediment,NIA,PFHxA,2.40E+03,3.57,7.48E+03,3.56,1.009,FALSE
NIA_GroupE_Blender_Blank,Blank,Blender,Biota,NIA,PFHxA,2.42E+02,3.58,2.76E+03,3.57,1,FALSE
NIA_GroupE_Biota_Spike,Spike,Homogenizer,Biota,NIA,PFHxA,1.26E+04,3.55,4.01E+03,3.59,1,FALSE
NIA_GroupE_Shrimp_1_20x,Sample,Homogenizer,Biota,NIA,PFHxA,5.00E+02,3.59,3.85E+03,3.58,1.0419,FALSE
NIA_GroupE_Shrimp_2_20x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,5.16E+03,3.55,1.0003,FALSE
NIA_GroupE_Shrimp_3_20x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,5.00E+03,3.54,1.0657,FALSE
NIA_GroupE_Shrimp_4_20x,Sample,Homogenizer,Biota,NIA,PFHxA,5.68E+02,3.53,5.84E+03,3.56,2.4803,FALSE
NIA_GroupE_Shrimp_5_20x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,5.89E+03,3.55,5.9906,FALSE
NIA_GroupE_Shrimp_6_20x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,6.52E+03,3.57,1,FALSE
NIA_GroupE_PumpkinSeed_1_20x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,6.28E+03,3.59,0.8698,FALSE
NIA_GroupE_PumpkinSeed_2_20x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,7.79E+03,3.56,0.8784,FALSE
NIA_GroupE_PumpkinSeed_3_20x,Sample,Homogenizer,Biota,NIA,PFHxA,7.61E+02,3.59,1.01E+04,3.56,0.2329,FALSE
NIA_GroupE_Spider_1_20x,Sample,Homogenizer,Biota,NIA,PFHxA,6.00E+02,3.6,1.07E+04,3.57,0.0129,FALSE
NIA_GroupE_Beetle_1_20x,Sample,Pestle,Biota,NIA,PFHxA,9.24E+02,3.57,1.39E+04,3.56,0.07,FALSE
NIA_GroupE_Nymph_1_20x,Sample,Homogenizer,Biota,NIA,PFHxA,1.16E+03,3.55,1.72E+04,3.54,0.2131,FALSE
NIA_GroupE_Shrimp_1_2x,Sample,Homogenizer,Biota,NIA,PFHxA,8.08E+02,3.59,9.94E+03,3.58,1.0419,FALSE
NIA_GroupE_Shrimp_2_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,1.61E+03,3.52,1.0003,FALSE
NIA_GroupE_Shrimp_3_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,9.14E+02,3.56,1.0657,FALSE
NIA_GroupE_Shrimp_4_2x,Sample,Homogenizer,Biota,NIA,PFHxA,2.54E+02,3.58,1.21E+03,3.6,2.4803,FALSE
NIA_GroupE_Shrimp_5_2x,Sample,Homogenizer,Biota,NIA,PFHxA,6.39E+02,3.59,1.18E+03,3.58,5.9906,FALSE
NIA_GroupE_Shrimp_6_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,1.29E+03,3.58,1,FALSE
NIA_GroupE_PumpkinSeed_1_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,1.29E+03,3.57,0.8698,FALSE
NIA_GroupE_PumpkinSeed_2_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,1.16E+03,3.58,0.8784,FALSE
NIA_GroupE_PumpkinSeed_3_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,1.08E+03,3.55,0.2329,FALSE
NIA_GroupE_Spider_1_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,1.31E+03,3.6,0.0129,FALSE
NIA_GroupE_Beetle_1_2x,Sample,Pestle,Biota,NIA,PFHxA,0.00E+00,0,2.27E+03,3.58,0.07,FALSE
NIA_GroupE_Nymph_1_2x,Sample,Homogenizer,Biota,NIA,PFHxA,0.00E+00,0,2.21E+03,3.56,0.2131,FALSE
NIA_GroupE_Sediment_Lab_Blank,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,2.54E+03,3.56,1,FALSE
NIA_GroupE_Sediment_Field_Blank,Blank,Field,Sediment,NIA,PFHxA,2.23E+02,3.57,1.63E+03,3.57,1,FALSE
NIA_GroupE_Sediment_Spike,Spike,Field,Sediment,NIA,PFHxA,6.24E+03,3.59,1.53E+03,3.57,1,FALSE
NIA_GroupE_Sediment_Sample_1_20x,Sample,Field,Sediment,NIA,PFHxA,6.36E+02,3.57,2.54E+03,3.6,0.9983,FALSE
NIA_GroupE_Sediment_Sample_2_20x,Sample,Field,Sediment,NIA,PFHxA,2.18E+02,3.57,2.93E+03,3.55,1.0174,FALSE
NIA_GroupE_Sediment_Sample_3_20x,Sample,Field,Sediment,NIA,PFHxA,4.89E+02,3.54,3.50E+03,3.58,1.0034,FALSE
NIA_GroupE_Sediment_Sample_1_2x,Sample,Field,Sediment,NIA,PFHxA,2.69E+03,3.56,5.92E+03,3.58,0.9983,FALSE
NIA_GroupE_Sediment_Sample_2_2x,Sample,Field,Sediment,NIA,PFHxA,9.10E+02,3.54,3.79E+03,3.58,1.0174,FALSE
NIA_GroupE_Sediment_Sample_3_2x,Sample,Field,Sediment,NIA,PFHxA,8.38E+02,3.54,3.99E+03,3.55,1.0034,FALSE
NIA_GroupF_Sediment_Lab_Blank,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,2.28E+03,3.56,0,FALSE
NIA_GroupF_Sediment_Field_Blank,Blank,Field,Sediment,NIA,PFHxA,3.49E+02,3.58,1.59E+03,3.59,0,FALSE
NIA_GroupF_Sediment_Spike,Spike,Field,Sediment,NIA,PFHxA,7.11E+03,3.6,1.40E+03,3.57,0,FALSE
NIA_GroupF_Sediment_Sample_1_20x,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,3.01E+03,3.57,0.9944,FALSE
NIA_GroupF_Sediment_Sample_2_20x,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,4.21E+03,3.58,0.9981,FALSE
NIA_GroupF_Sediment_Sample_3_20x,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,3.85E+03,3.58,0.9945,FALSE
NIA_GroupF_Sediment_Sample_1_2x,Sample,Field,Sediment,NIA,PFHxA,8.37E+02,3.58,8.47E+03,3.62,0.9944,FALSE
NIA_GroupF_Sediment_Sample_2_2x,Sample,Field,Sediment,NIA,PFHxA,1.31E+03,3.59,5.19E+03,3.57,0.9981,FALSE
NIA_GroupF_Sediment_Sample_3_2x,Sample,Field,Sediment,NIA,PFHxA,7.50E+02,3.63,2.88E+03,3.53,0.9945,FALSE
20MC_0 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,0.00E+00,2.26,2.44E+05,4,1,FALSE
20MC_0.2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,3.39E+04,3.8,3.02E+05,3.97,1,FALSE
20MC_0.4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,4.96E+04,3.78,2.55E+05,3.96,1,FALSE
20MC_1 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,9.45E+04,3.79,2.30E+05,3.97,1,FALSE
20MC_2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,1.77E+05,3.78,2.70E+05,3.96,1,FALSE
20MC_4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,3.60E+05,3.78,2.11E+05,3.95,1,FALSE
20MC_10 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,9.50E+05,3.77,2.37E+05,3.95,1,FALSE
20MC_20 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,1.68E+06,3.77,2.55E+05,3.95,1,FALSE
20MC_40 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,2.70E+06,3.76,2.60E+05,3.93,1,FALSE
20MC_100 ng/mL,Calibration curve,Lab,N/A,20MC,PFHpA,6.42E+06,3.76,3.56E+05,3.92,1,FALSE
20MC_water_lab_blank,Blank,Lab,Water,20MC,PFHpA,4.72E+04,3.77,2.26E+05,3.93,1,FALSE
20MC_water_field_blank,Blank,Field,Water,20MC,PFHpA,6.83E+03,3.75,2.15E+05,3.93,1,FALSE
20MC_water_spike1,Spike,Field,Water,20MC,PFHpA,1.61E+06,3.76,1.98E+05,3.92,1,FALSE
20MC_water_spike2,Spike,Field,Water,20MC,PFHpA,1.46E+06,3.74,2.11E+05,3.91,1,FALSE
20MC_water_sample_1,Sample,Field,Water,20MC,PFHpA,2.52E+04,3.75,2.31E+05,3.91,100,FALSE
20MC_water_sample_2,Sample,Field,Water,20MC,PFHpA,3.02E+04,3.75,2.31E+05,3.91,100,FALSE
20MC_water_sample_3,Sample,Field,Water,20MC,PFHpA,2.03E+04,3.73,2.12E+05,3.9,100,FALSE
20MC_water_sample_4,Sample,Field,Water,20MC,PFHpA,2.43E+04,3.74,2.32E+05,3.9,100,FALSE
20MC_GroupC_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFHpA,4.81E+04,3.69,1.67E+05,3.89,1,FALSE
