Sample Name,Sample type,Sample group,Matrix,Location,Compound,Analyte Peak Area,Analyte Retention Time (min),Internal Standard Peak Area,Internal Standard Retention Time (min),Normalization factor
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFNA,1.80E+04,2.68,1.97E+04,2.68,1.00E+00
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFNA,2.22E+04,2.76,2.42E+04,2.77,1.00E+00
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFNA,2.11E+04,2.77,2.74E+04,2.76,1.00E+00
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFNA,0.00E+00,0,7.41E+03,2.76,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFNA,0.00E+00,0,7.95E+03,2.78,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFNA,0.00E+00,0,5.38E+03,2.8,1.00E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFNA,2.56E+04,2.76,3.24E+03,2.77,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFNA,0.00E+00,0,3.19E+03,2.77,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFNA,0.00E+00,0,2.31E+03,2.75,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFNA,0.00E+00,0,2.11E+03,2.79,1.00E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFNA,1.44E+04,2.76,2.22E+03,2.76,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFNA,6.25E+01,2.84,4.40E+03,2.74,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFNA,0.00E+00,0,2.28E+03,2.75,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFNA,1.49E+02,2.83,1.67E+03,2.78,1.00E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFNA,6.74E+03,2.76,1.53E+03,2.71,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFNA,0.00E+00,0,1.49E+03,2.79,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFNA,0.00E+00,0,1.27E+03,2.79,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFNA,2.20E+02,2.83,2.17E+03,2.79,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFNA,9.06E+03,2.77,1.21E+03,2.78,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFNA,0.00E+00,0,5.68E+03,2.78,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Mortar,Biota,NIA,PFNA,1.51E+03,2.79,4.20E+03,2.77,1.00E+00
2022_NIABiota_GroupA_Crayfish2,Sample,Mortar,Biota,NIA,PFNA,1.07E+03,2.78,3.14E+03,2.79,1.00E+00
2022_NIABiota_GroupA_MortarBlank,Blank,Mortar,Biota,NIA,PFNA,7.10E+02,2.82,5.95E+03,2.8,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Mortar,Biota,NIA,PFNA,1.16E+03,2.78,3.98E+03,2.78,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFNA,1.50E+03,2.79,4.13E+03,2.77,1.00E+00
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFNA,1.58E+04,2.78,5.42E+03,2.82,1.00E+00
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFNA,0.00E+00,0,6.54E+03,2.78,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFNA,9.53E+02,2.77,4.46E+03,2.8,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFNA,1.39E+03,2.79,4.83E+03,2.78,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFNA,2.25E+04,2.8,4.43E+03,2.8,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFNA,0.00E+00,0,5.46E+03,2.8,1.00E+00
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFNA,6.30E+02,2.79,8.79E+03,2.79,1.00E+00
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFNA,5.88E+02,2.76,7.81E+03,2.78,1.00E+00
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFNA,4.29E+04,2.79,6.39E+03,2.79,1.00E+00
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFNA,0.00E+00,0,4.39E+03,2.78,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFNA,1.64E+03,2.78,2.57E+03,2.78,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFNA,1.22E+03,2.79,1.70E+03,2.79,1.00E+00
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFNA,1.29E+04,2.78,8.43E+02,2.82,1.00E+00
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFNA,0.00E+00,0,2.33E+03,2.79,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFNA,3.37E+02,2.87,2.26E+03,2.8,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFNA,1.03E+03,2.78,2.50E+03,2.77,1.00E+00
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFNA,1.65E+04,2.83,3.11E+03,2.81,1.00E+00
2022_NIABiota_GroupD_Crayfish1,Sample,Mortar,Biota,NIA,PFNA,2.83E+02,2.83,6.25E+03,2.76,1.00E+00
2022_NIABiota_GroupD_Crayfish2,Sample,Mortar,Biota,NIA,PFNA,1.77E+03,2.78,4.55E+03,2.79,1.00E+00
2022_NIABiota_GroupD_MortarBlank,Blank,Mortar,Biota,NIA,PFNA,1.79E+03,2.8,4.06E+03,2.78,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Mortar,Biota,NIA,PFNA,2.10E+04,2.79,5.46E+03,2.79,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFNA,0.00E+00,0,4.88E+03,2.76,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFNA,3.85E+03,2.81,3.34E+03,2.78,1.00E+00
2022_NIABiota_GroupE_MortarBlank,Blank,Mortar,Biota,NIA,PFNA,0.00E+00,0,7.57E+03,2.8,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Mortar,Biota,NIA,PFNA,2.01E+03,2.79,1.70E+03,2.78,1.00E+00
2022_NIABiota_GroupE_Snail,Sample,Mortar,Biota,NIA,PFNA,9.27E+03,2.81,3.62E+03,2.79,1.00E+00
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFNA,4.45E+02,2.79,4.78E+03,2.79,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFNA,6.06E+02,2.83,4.93E+03,2.78,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFNA,8.81E+02,2.77,5.86E+03,2.79,1.00E+00
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFNA,1.51E+03,2.78,4.59E+03,2.8,1.00E+00
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFNA,1.49E+04,2.77,6.21E+03,2.78,1.00E+00
2022_NIABiota_GroupF_MortarBlank,Blank,Mortar,Biota,NIA,PFNA,0.00E+00,0,1.62E+03,2.78,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Mortar,Biota,NIA,PFNA,1.37E+02,2.78,4.47E+03,2.78,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Mortar,Biota,NIA,PFNA,4.61E+02,2.8,2.85E+03,2.8,1.00E+00
2022_NIABiota_GroupF_Snail2,Sample,Mortar,Biota,NIA,PFNA,5.58E+03,2.78,1.68E+03,2.78,1.00E+00
2021_20MCSediment_GroupG_Sample1,Sample,Field,Sediment,20MC,PFNA,2920.713957,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupG_Sample2,Sample,Field,Sediment,20MC,PFNA,1618.033684,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupG_Sample3,Sample,Field,Sediment,20MC,PFNA,1537.126602,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupG_Spike,Spike,Field,Sediment,20MC,PFNA,115961.997,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupG_LabBlank,Blank,Lab,Sediment,20MC,PFNA,1436.974184,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupG_FieldBlank,Blank,Field,Sediment,20MC,PFNA,4489.245704,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupH_Sample1,Sample,Field,Sediment,20MC,PFNA,2518.080822,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupH_Sample2,Sample,Field,Sediment,20MC,PFNA,1755.818224,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupH_Sample3,Sample,Field,Sediment,20MC,PFNA,1828.27658,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupH_Spike,Spike,Field,Sediment,20MC,PFNA,59472.84534,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupH_LabBlank,Blank,Lab,Sediment,20MC,PFNA,1473.030143,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupH_FieldBlank,Blank,Field,Sediment,20MC,PFNA,2174.827904,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupI_Sample1,Sample,Field,Sediment,20MC,PFNA,2853.191649,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupI_Sample2,Sample,Field,Sediment,20MC,PFNA,2171.664303,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupI_Sample3,Sample,Field,Sediment,20MC,PFNA,2273.856751,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupI_Spike,Spike,Field,Sediment,20MC,PFNA,99246.78228,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupI_LabBlank,Blank,Lab,Sediment,20MC,PFNA,5561.332111,2.8,3000,2.8,1.00E+00
2021_20MCSediment_GroupI_FieldBlank,Blank,Field,Sediment,20MC,PFNA,3226.456117,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupG_MortarSpike,Spike,Mortar,Biota,20MC,PFNA,39384.72318,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupG_MortarBlank,Blank,Mortar,Biota,20MC,PFNA,1305.668128,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupG_BlenderBlank,Blank,Blender,Biota,20MC,PFNA,681.0730253,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupG_Crayfish1,Sample,Mortar,Biota,20MC,PFNA,939.3939394,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupG_Crayfish2,Sample,Mortar,Biota,20MC,PFNA,2179.619764,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupG_Catfish1,Sample,Blender,Biota,20MC,PFNA,1228.424333,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupG_Catfish2,Sample,Blender,Biota,20MC,PFNA,2645.57648,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupG_HardshellBug,Sample,Mortar,Biota,20MC,PFNA,1076.670975,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupH_MortarSpike,Spike,Mortar,Biota,20MC,PFNA,4027.092494,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupH_MortarBlank,Blank,Mortar,Biota,20MC,PFNA,1190.831491,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupH_BlenderBlank,Blank,Blender,Biota,20MC,PFNA,681.0730253,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupH_HardshellBug1,Sample,Mortar,Biota,20MC,PFNA,905.1463169,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupH_HardshellBug2,Sample,Mortar,Biota,20MC,PFNA,1029.934787,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupH_Crayfish1,Sample,Mortar,Biota,20MC,PFNA,1121.049646,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupH_Crayfish2,Sample,Mortar,Biota,20MC,PFNA,2776.973482,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupH_Catfish,Sample,Blender,Biota,20MC,PFNA,4522.76867,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_MortarSpike,Spike,Mortar,Biota,20MC,PFNA,43085.00548,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_MortarBlank,Blank,Mortar,Biota,20MC,PFNA,1589.551477,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_BlenderBlank,Blank,Blender,Biota,20MC,PFNA,681.0730253,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_Crayfish,Sample,Mortar,Biota,20MC,PFNA,3307.024933,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_Sunfish,Sample,Blender,Biota,20MC,PFNA,1231.660871,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_Catfish,Sample,Blender,Biota,20MC,PFNA,1728.065046,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_Nymph,Sample,Mortar,Biota,20MC,PFNA,4034.907618,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_Slug,Sample,Blender,Biota,20MC,PFNA,1210.343051,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_Beetle1,Sample,Mortar,Biota,20MC,PFNA,2196.22454,2.8,3000,2.8,1.00E+00
2021_20MCBiota_GroupI_Beetle2,Sample,Mortar,Biota,20MC,PFNA,1250.251593,2.8,3000,2.8,1.00E+00
0 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,0.00E+00,2.92,1.01E+05,2.89,1.00E+00
0.2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,2.19E+04,2.89,8.61E+04,2.88,1.00E+00
0.4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,3.48E+04,2.9,7.96E+04,2.9,1.00E+00
1 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,7.81E+04,2.89,7.56E+04,2.9,1.00E+00
2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,1.14E+05,2.9,6.20E+04,2.89,1.00E+00
4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,1.98E+05,2.9,5.39E+04,2.91,1.00E+00
10 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,5.05E+05,2.91,5.73E+04,2.9,1.00E+00
20 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,7.10E+05,2.91,5.49E+04,2.9,1.00E+00
40 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,1.24E+06,2.9,5.65E+04,2.9,1.00E+00
100 ng/mL,Calibration Curve,Lab,N/A,N/A,PFDA,3.06E+06,2.9,5.68E+04,2.9,1.00E+00
2022_20MCWater_FieldBlank,Blank,Field,Water,20MC,PFDA,2.81E+03,2.94,3.25E+04,2.92,1.00E+00
2022_20MCWater_FieldSpike1,Spike,Field,Water,20MC,PFDA,7.73E+03,2.92,2.95E+04,2.92,1.00E+00
2022_20MCWater_FieldSpike2,Spike,Field,Water,20MC,PFDA,9.87E+03,2.95,2.56E+04,2.92,1.00E+00
2022_20MCWater_LabBlank,Blank,Lab,Water,20MC,PFDA,1.06E+03,2.93,2.12E+04,2.92,1.00E+00
2022_20MCWater_Sample1,Sample,Field,Water,20MC,PFDA,5.39E+03,2.91,2.44E+04,2.92,1.00E+00
2022_20MCWater_Sample2,Sample,Field,Water,20MC,PFDA,1.06E+03,2.93,2.34E+04,2.91,1.00E+00
2022_20MCWater_Sample3,Sample,Field,Water,20MC,PFDA,9.79E+03,2.91,2.18E+04,2.91,1.00E+00
2022_20MCWater_Sample4,Sample,Field,Water,20MC,PFDA,1.69E+04,2.93,2.71E+04,2.91,1.00E+00
2022_NIAWater_FieldBlank1,Blank,Field,Water,NIA,PFDA,0.00E+00,0,2.32E+04,2.92,1.00E+00
2022_NIAWater_FieldBlank2,Blank,Field,Water,NIA,PFDA,0.00E+00,0,2.22E+04,2.93,1.00E+00
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFDA,1.00E+04,2.92,2.32E+04,2.92,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFDA,1.10E+04,2.89,2.34E+04,2.88,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFDA,0.00E+00,3.16,2.04E+04,2.86,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFDA,1.80E+04,0,1.69E+04,2.85,1.00E+00
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFDA,1.56E+04,2.92,1.57E+04,2.91,1.00E+00
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFDA,1.82E+04,2.93,1.90E+04,2.91,1.00E+00
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFDA,0.00E+00,0,6.05E+03,2.93,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,0,1.19E+04,2.93,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFDA,1.12E+03,2.97,1.11E+04,2.92,1.00E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFDA,3.33E+04,2.9,4.87E+03,2.93,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFDA,0.00E+00,0,5.22E+03,2.93,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,0,2.93E+03,2.91,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFDA,5.63E+02,2.92,2.68E+03,2.9,1.00E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFDA,1.73E+04,2.9,2.94E+03,2.9,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFDA,2.65E+01,2.93,3.94E+03,2.89,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,0,1.79E+03,2.89,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFDA,2.01E+02,2.9,2.04E+03,2.91,1.00E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFDA,5.61E+03,2.88,1.27E+03,2.9,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFDA,2.30E+02,2.91,3.04E+03,2.94,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,0,1.85E+03,2.93,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFDA,5.67E+02,2.96,1.62E+03,2.95,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFDA,1.23E+04,2.92,1.20E+03,2.9,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,6.51E+03,2.93,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Mortar,Biota,NIA,PFDA,9.32E+02,2.92,3.35E+03,2.94,1.00E+00
2022_NIABiota_GroupA_Crayfish2,Sample,Mortar,Biota,NIA,PFDA,6.91E+02,2.95,2.69E+03,2.94,1.00E+00
2022_NIABiota_GroupA_MortarBlank,Blank,Mortar,Biota,NIA,PFDA,1.15E+03,2.93,5.95E+03,2.92,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Mortar,Biota,NIA,PFDA,7.89E+02,2.98,4.02E+03,2.91,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFDA,6.57E+02,2.93,4.45E+03,2.96,1.00E+00
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFDA,6.40E+03,2.92,4.90E+03,2.93,1.00E+00
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,5.23E+03,2.94,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFDA,2.17E+03,2.95,7.40E+03,2.94,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFDA,1.05E+03,2.93,5.10E+03,2.91,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFDA,4.09E+04,2.94,3.69E+03,2.94,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFDA,0.00E+00,0,5.95E+03,2.92,1.00E+00
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFDA,3.80E+02,2.92,6.67E+03,2.93,1.00E+00
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFDA,0.00E+00,0,5.60E+03,2.95,1.00E+00
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFDA,4.18E+04,2.93,5.09E+03,2.94,1.00E+00
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,4.07E+03,2.94,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFDA,4.00E+02,2.98,5.43E+03,2.94,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFDA,5.60E+02,2.94,1.64E+03,2.95,1.00E+00
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFDA,1.32E+04,2.93,1.86E+03,2.96,1.00E+00
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFDA,0.00E+00,0,2.25E+03,2.95,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFDA,2.20E+02,2.92,2.44E+03,2.95,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFDA,1.22E+03,2.93,3.48E+03,2.96,1.00E+00
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFDA,2.58E+04,2.93,3.54E+03,2.92,1.00E+00
2022_NIABiota_GroupD_Crayfish1,Sample,Mortar,Biota,NIA,PFDA,2.83E+02,2.93,4.92E+03,2.94,1.00E+00
2022_NIABiota_GroupD_Crayfish2,Sample,Mortar,Biota,NIA,PFDA,0.00E+00,0,4.68E+03,2.92,1.00E+00
2022_NIABiota_GroupD_MortarBlank,Blank,Mortar,Biota,NIA,PFDA,2.82E+02,2.97,5.15E+03,2.93,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Mortar,Biota,NIA,PFDA,1.10E+04,2.91,4.08E+03,2.93,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,5.36E+03,2.92,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFDA,1.28E+03,2.94,4.52E+03,2.93,1.00E+00
2022_NIABiota_GroupE_MortarBlank,Blank,Mortar,Biota,NIA,PFDA,0.00E+00,0,5.83E+03,2.94,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Mortar,Biota,NIA,PFDA,4.36E+02,2.98,1.59E+03,2.92,1.00E+00
2022_NIABiota_GroupE_Snail,Sample,Mortar,Biota,NIA,PFDA,5.21E+03,2.97,3.55E+03,2.94,1.00E+00
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,3.10E+03,2.93,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFDA,6.85E+02,2.97,6.81E+03,2.94,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFDA,6.34E+02,2.98,6.57E+03,2.95,1.00E+00
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFDA,1.01E+03,2.95,4.26E+03,2.95,1.00E+00
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFDA,1.22E+04,2.95,5.97E+03,2.93,1.00E+00
2022_NIABiota_GroupF_MortarBlank,Blank,Mortar,Biota,NIA,PFDA,0.00E+00,0,3.46E+03,2.93,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Mortar,Biota,NIA,PFDA,1.13E+02,2.99,3.69E+03,2.96,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Mortar,Biota,NIA,PFDA,2.00E+02,2.97,2.12E+03,2.95,1.00E+00
2022_NIABiota_GroupF_Snail2,Sample,Mortar,Biota,NIA,PFDA,6.02E+03,2.94,3.41E+03,2.93,1.00E+00
2021_20MCSediment_GroupG_Sample1,Sample,Field,Sediment,20MC,PFDA,3381.360569,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_Sample2,Sample,Field,Sediment,20MC,PFDA,2561.797139,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_Sample3,Sample,Field,Sediment,20MC,PFDA,2488.301598,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_Spike,Spike,Field,Sediment,20MC,PFDA,127037.6498,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_LabBlank,Blank,Lab,Sediment,20MC,PFDA,1667.326504,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_FieldBlank,Blank,Field,Sediment,20MC,PFDA,6902.787953,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_Sample1,Sample,Field,Sediment,20MC,PFDA,2523.046031,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_Sample2,Sample,Field,Sediment,20MC,PFDA,2178.92738,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_Sample3,Sample,Field,Sediment,20MC,PFDA,2129.466701,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_Spike,Spike,Field,Sediment,20MC,PFDA,60309.05443,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_LabBlank,Blank,Lab,Sediment,20MC,PFDA,1589.50175,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_FieldBlank,Blank,Field,Sediment,20MC,PFDA,2831.11988,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_Sample1,Sample,Field,Sediment,20MC,PFDA,3228.159767,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_Sample2,Sample,Field,Sediment,20MC,PFDA,2551.26869,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_Sample3,Sample,Field,Sediment,20MC,PFDA,2210.186202,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_Spike,Spike,Field,Sediment,20MC,PFDA,114276.1138,2.95,3000,2.95,1.00E+00
