Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Internal standard peak area,Normalization factor
Nebo Beetle C,Sample,Field,Biota,20MC,PFHxA,0,755000,0.0845
Nebo boatmen 1,Sample,Field,Biota,20MC,PFHxA,0,1100000,0.1661
Nebo catfish 1,Sample,Field,Biota,20MC,PFHxA,0,1110000,1.7887
Nebo nymph other,Sample,Field,Biota,20MC,PFHxA,0,1030000,0.1419
Nebo catfish 2,Sample,Field,Biota,20MC,PFHxA,0,1030000,0.8903
Nebo catfish 3,Sample,Field,Biota,20MC,PFHxA,0,802000,1.0315
Nebo dragonfly nymph,Sample,Field,Biota,20MC,PFHxA,0,1000000,0.4087
0 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,0,517000,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,62900,586000,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,143000,653000,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,191000,631000,1
2.5 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,594000,609000,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,2390000,626000,1
25 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,3880000,494000,1
Water Nebo 2 (E),Sample,Field,Water,20MC,PFHxA,0,1080000,100
Water Nebo 5 (E),Sample,Field,Water,20MC,PFHxA,0,935000,100
Water Nebo Spike 2 (E),Spike,Field,Water,20MC,PFHxA,2060000,840000,1
Water Nebo Spike 3 (E),Spike,Field,Water,20MC,PFHxA,1740000,796000,1
Niapenco Sediment 5 (E),Sample,Field,Sediment,NIA,PFHxA,0,700000,5.8966
Niapenco Lab Blank (E),Blank,Lab,Sediment,NIA,PFHxA,0,814000,1
Niapenco Field Blank (E),Blank,Field,Sediment,NIA,PFHxA,0,814000,1
Niapenco Sediment 6 (E),Sample,Field,Sediment,NIA,PFHxA,0,600000,5.0275
Bio Niapenco Lab Blank (D),Blank,Field,Biota,NIA,PFHxA,0,1180000,1
Bio Niapenco Slug (D),Sample,Field,Biota,NIA,PFHxA,0,1370000,0.071
Bio Niapenco Catfish 1 (D),Sample,Field,Biota,NIA,PFHxA,0,1180000,0.3824
Bio Niapenco Catfish 2 (D),Sample,Field,Biota,NIA,PFHxA,0,1150000,0.3916
Bio Niapenco Tadpole 1 (D),Sample,Field,Biota,NIA,PFHxA,0,1190000,0.6797
Bio Niapenco Tadpole 2 (D),Sample,Field,Biota,NIA,PFHxA,0,1400000,0.6595
Water Nebo Lab Blank (D),Blank,Lab,Water,20MC,PFHxA,0,786000,1
Water Nebo Field Blank 1 (D),Blank,Field,Water,20MC,PFHxA,12900,716000,1
Water Nebo Field Blank 2 (D),Blank,Field,Water,20MC,PFHxA,20400,908000,1
Sediment Niapenco Lab Blank (D),Blank,Lab,Sediment,NIA,PFHxA,0,619000,1
Sediment Niapenco Field Blank 1 (D),Blank,Field,Sediment,NIA,PFHxA,0,622000,1
Sediment Niapenco 1 (D),Sample,Field,Sediment,NIA,PFHxA,0,563000,5.8357
Sediment Niapenco 2 (D) ,Sample,Field,Sediment,NIA,PFHxA,0,550000,5.0227
Niapenco bug 3 (E),Sample,Field,Biota,NIA,PFHxA,0,2560000,1.0693
Niapenco shrimp 2 (E),Sample,Field,Biota,NIA,PFHxA,0,805000,1.0486
Niapenco bug 1 (E),Sample,Field,Biota,NIA,PFHxA,0,1490000,1.0788
Niapenco bug 2 (E),Sample,Field,Biota,NIA,PFHxA,0,1170000,1.3479
Niapenco fish 3 (E),Sample,Field,Biota,NIA,PFHxA,0,943000,0.9073
Niapenco fish 2 (E),Sample,Field,Biota,NIA,PFHxA,0,1050000,0.9693
Niapenco shrimp 1 (E),Sample,Field,Biota,NIA,PFHxA,0,1220000,1.0392
Niapenco fish 1 (E),Sample,Field,Biota,NIA,PFHxA,0,867000,1.2625
Niapenco nymph 1 (F),Sample,Field,Biota,NIA,PFHxA,0,1270000,0.2044
Niapenco bass 1 (F),Sample,Field,Biota,NIA,PFHxA,0,803000,0.986
Niapenco shrimp 3 (F),Sample,Field,Biota,NIA,PFHxA,0,719000,1.0196
Niapenco bass 2 (F),Sample,Field,Biota,NIA,PFHxA,0,764000,1.0479
niapenco nymph 2 (F),Sample,Field,Biota,NIA,PFHxA,0,1070000,0.4954
Niapenco bass 3 (F),Sample,Field,Biota,NIA,PFHxA,0,623000,1.014
0 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,0,754000,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,30000,976000,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,72600,1030000,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,140000,897000,1
2.5 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,315000,900000,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,822000,616000,1
25 ng/mL,Calibration curve,A,N/A,N/A,PFHpA,1680000,747000,1
Nedo SED 6,Sample,Field,Sediment,20MC,PFHpA,0,1320000,5.4135
NEBO Sed 5,Sample,Field,Sediment,20MC,PFHpA,0,1070000,5.2932
NEBO Sed Field Blank,Blank,Field,Sediment,20MC,PFHpA,0,955000,1
NEBO Sed Lab Blank,Blank,Lab,Sediment,20MC,PFHpA,0,1010000,1
DI H2O Nianp blank lab 1,Blank,Lab,Water,NIA,PFHpA,0,1100000,1
NEBO Water 1,Sample,Field,Water,20MC,PFHpA,0,1430000,100
Niap water 3,Sample,Field,Water,NIA,PFHpA,101000,1070000,100
Niap water 6,Sample,Field,Water,NIA,PFHpA,109000,1250000,100
Ni H2O Spike 1 ,Spike,Field,Water,NIA,PFHpA,1500000,1200000,1
Ni H2O 5,Sample,Field,Water,NIA,PFHpA,71200,1150000,100
Ni H2O lab blank 2,Blank,Lab,Water,NIA,PFHpA,0,1150000,1
Ne H2O 3 ,Sample,Field,Water,20MC,PFHpA,0,1170000,100
Ne Dam Fly,Sample,Field,Biota,20MC,PFHpA,3680,1410000,0.2822
Ne Boat,Sample,Field,Biota,20MC,PFHpA,3090,1310000,0.1503
Ne Nymph,Sample,Field,Biota,20MC,PFHpA,0,1660000,0.0158
Biological Lab Blan,Blank,Field,Biota,20MC,PFHpA,0,1430000,1
Nebo Sed. 2,Sample,Field,Sediment,20MC,PFHpA,0,1170000,5.1364
Sand Lab Blank,Blank,Lab,Sediment,20MC,PFHpA,0,910000,1
Nebo Sed 1,Sample,Field,Sediment,20MC,PFHpA,0,956000,5.2524
Nebo Field Blank 1,Blank,Field,Sediment,20MC,PFHpA,0,987000,1
Niapenco Water Field Blank 1,Blank,Field,Water,NIA,PFHpA,0,1090000,1
Niapenco Water 2,Sample,Field,Water,NIA,PFHpA,98300,1220000,100
Nebo Water 6,Sample,Field,Water,20MC,PFHpA,0,1000000,100
Niapenco Water 4,Sample,Field,Water,NIA,PFHpA,119000,1000000,100
Nebo Sed 3,Sample,Field,Sediment,20MC,PFHpA,0,1040000,5.0345
Nebo Sed 4,Sample,Field,Sediment,20MC,PFHpA,0,1020000,5.2308
Nebo Sed Lab Blank,Blank,Lab,Sediment,20MC,PFHpA,0,638000,1
Nebo Sed Field Blank,Blank,Field,Sediment,20MC,PFHpA,0,966000,1
Nebo Sucker 1C,Sample,Field,Biota,20MC,PFHpA,0,1190000,0.7998
Nebo Sucker 2 C,Sample,Field,Biota,20MC,PFHpA,0,879000,1.0383
Nebo Sucker 3 C,Sample,Field,Biota,20MC,PFHpA,0,895000,1.4575
Nebo Arthropods C,Sample,Field,Biota,20MC,PFHpA,0,1080000,0.0198
Nebo Beetle C,Sample,Field,Biota,20MC,PFHpA,0,1280000,0.0845
Nebo boatmen 1,Sample,Field,Biota,20MC,PFHpA,0,1290000,0.1661
Nebo catfish 1,Sample,Field,Biota,20MC,PFHpA,0,1020000,1.7887
Nebo nymph other,Sample,Field,Biota,20MC,PFHpA,0,1150000,0.1419
Nebo catfish 2,Sample,Field,Biota,20MC,PFHpA,0,1020000,0.8903
Nebo catfish 3,Sample,Field,Biota,20MC,PFHpA,0,784000,1.0315
Nebo dragonfly nymph,Sample,Field,Biota,20MC,PFHpA,0,1110000,0.4087
0 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,0,1000000,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,29600,1080000,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,53000,881000,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,154000,1090000,1
2.5 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,263000,1070000,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,986000,827000,1
25 ng/mL,Calibration curve,B,N/A,N/A,PFHpA,1620000,667000,1
Water Nebo 2 (E),Sample,Field,Water,20MC,PFHpA,0,937000,100
Water Nebo 5 (E),Sample,Field,Water,20MC,PFHpA,0,1120000,100
Water Nebo Spike 2 (E),Spike,Field,Water,20MC,PFHpA,1180000,879000,1
Water Nebo Spike 3 (E),Spike,Field,Water,20MC,PFHpA,1200000,1010000,1
Niapenco Sediment 5 (E),Sample,Field,Sediment,NIA,PFHpA,0,974000,5.8966
Niapenco Lab Blank (E),Blank,Lab,Sediment,NIA,PFHpA,0,998000,1
Niapenco Field Blank (E),Blank,Field,Sediment,NIA,PFHpA,0,842000,1
Niapenco Sediment 6 (E),Sample,Field,Sediment,NIA,PFHpA,0,1280000,5.0275
Bio Niapenco Lab Blank (D),Blank,Field,Biota,NIA,PFHpA,0,1520000,1
Bio Niapenco Slug (D),Sample,Field,Biota,NIA,PFHpA,0,1860000,0.071
Bio Niapenco Catfish 1 (D),Sample,Field,Biota,NIA,PFHpA,0,2050000,0.3824
Bio Niapenco Catfish 2 (D),Sample,Field,Biota,NIA,PFHpA,0,1350000,0.3916
Bio Niapenco Tadpole 1 (D),Sample,Field,Biota,NIA,PFHpA,0,2130000,0.6797
Bio Niapenco Tadpole 2 (D),Sample,Field,Biota,NIA,PFHpA,0,2150000,0.6595
Water Nebo Lab Blank (D),Blank,Lab,Water,20MC,PFHpA,0,1520000,1
Water Nebo Field Blank 1 (D),Blank,Field,Water,20MC,PFHpA,0,1540000,1
Water Nebo Field Blank 2 (D),Blank,Field,Water,20MC,PFHpA,0,1380000,1
Sediment Niapenco Lab Blank (D),Blank,Lab,Sediment,NIA,PFHpA,0,924000,1
Sediment Niapenco Field Blank 1 (D),Blank,Field,Sediment,NIA,PFHpA,0,841000,1
Sediment Niapenco 1 (D),Sample,Field,Sediment,NIA,PFHpA,0,923000,5.8357
Sediment Niapenco 2 (D) ,Sample,Field,Sediment,NIA,PFHpA,0,1100000,5.0227
Niapenco bug 3 (E),Sample,Field,Biota,NIA,PFHpA,3820,2260000,1.0693
Niapenco shrimp 2 (E),Sample,Field,Biota,NIA,PFHpA,0,975000,1.0486
Niapenco bug 1 (E),Sample,Field,Biota,NIA,PFHpA,0,1450000,1.0788
Niapenco bug 2 (E),Sample,Field,Biota,NIA,PFHpA,0,1100000,1.3479
Niapenco fish 3 (E),Sample,Field,Biota,NIA,PFHpA,3400,1110000,0.9073
Niapenco fish 2 (E),Sample,Field,Biota,NIA,PFHpA,11700,1050000,0.9693
Niapenco shrimp 1 (E),Sample,Field,Biota,NIA,PFHpA,0,1510000,1.0392
Niapenco fish 1 (E),Sample,Field,Biota,NIA,PFHpA,7210,1030000,1.2625
Niapenco nymph 1 (F),Sample,Field,Biota,NIA,PFHpA,5880,1240000,0.2044
Niapenco bass 1 (F),Sample,Field,Biota,NIA,PFHpA,7520,653000,0.986
Niapenco shrimp 3 (F),Sample,Field,Biota,NIA,PFHpA,4340,868000,1.0196
Niapenco bass 2 (F),Sample,Field,Biota,NIA,PFHpA,5680,800000,1.0479
niapenco nymph 2 (F),Sample,Field,Biota,NIA,PFHpA,8760,823000,0.4954
Niapenco bass 3 (F),Sample,Field,Biota,NIA,PFHpA,17800,596000,1.014
0 ng/mL,Calibration curve,A,N/A,N/A,PFOA,0,754000,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFOA,26200,976000,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFOA,0,1030000,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFOA,188000,897000,1
2.5 ng/mL,Calibration curve,A,N/A,N/A,PFOA,603000,900000,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFOA,1380000,616000,1
25 ng/mL,Calibration curve,A,N/A,N/A,PFOA,2920000,747000,1
Nedo SED 6,Sample,Field,Sediment,20MC,PFOA,0,1320000,5.4135
NEBO Sed 5,Sample,Field,Sediment,20MC,PFOA,0,1070000,5.2932
NEBO Sed Field Blank,Blank,Field,Sediment,20MC,PFOA,0,955000,1
NEBO Sed Lab Blank,Blank,Lab,Sediment,20MC,PFOA,0,1010000,1
DI H2O Nianp blank lab 1,Blank,Lab,Water,NIA,PFOA,0,1100000,1
NEBO Water 1,Sample,Field,Water,20MC,PFOA,0,1430000,100
Niap water 3,Sample,Field,Water,NIA,PFOA,142000,1070000,100
Niap water 6,Sample,Field,Water,NIA,PFOA,128000,1250000,100
Ni H2O Spike 1 ,Spike,Field,Water,NIA,PFOA,1650000,1200000,1
Ni H2O 5,Sample,Field,Water,NIA,PFOA,119000,1150000,100
Ni H2O lab blank 2,Blank,Lab,Water,NIA,PFOA,0,1150000,1
Ne H2O 3 ,Sample,Field,Water,20MC,PFOA,0,1170000,100
Ne Dam Fly,Sample,Field,Biota,20MC,PFOA,63400,1410000,0.2822
Ne Boat,Sample,Field,Biota,20MC,PFOA,65700,1310000,0.1503
Ne Nymph,Sample,Field,Biota,20MC,PFOA,22200,1660000,0.0158
Biological Lab Blan,Blank,Field,Biota,20MC,PFOA,30200,1430000,1
Nebo Sed. 2,Sample,Field,Sediment,20MC,PFOA,0,1170000,5.1364
Sand Lab Blank,Blank,Lab,Sediment,20MC,PFOA,0,910000,1
Nebo Sed 1,Sample,Field,Sediment,20MC,PFOA,0,956000,5.2524
Nebo Field Blank 1,Blank,Field,Sediment,20MC,PFOA,0,987000,1
Niapenco Water Field Blank 1,Blank,Field,Water,NIA,PFOA,0,1090000,1
Niapenco Water 2,Sample,Field,Water,NIA,PFOA,85400,1220000,100
Nebo Water 6,Sample,Field,Water,20MC,PFOA,0,1000000,100
Niapenco Water 4,Sample,Field,Water,NIA,PFOA,126000,1000000,100
Nebo Sed 3,Sample,Field,Sediment,20MC,PFOA,0,1040000,5.0345
Nebo Sed 4,Sample,Field,Sediment,20MC,PFOA,0,1020000,5.2308
Nebo Sed Lab Blank,Blank,Lab,Sediment,20MC,PFOA,0,638000,1
Nebo Sed Field Blank,Blank,Field,Sediment,20MC,PFOA,0,966000,1
Nebo Sucker 1C,Sample,Field,Biota,20MC,PFOA,49500,1190000,0.7998
Nebo Sucker 2 C,Sample,Field,Biota,20MC,PFOA,45200,879000,1.0383
Nebo Sucker 3 C,Sample,Field,Biota,20MC,PFOA,62100,895000,1.4575
Nebo Arthropods C,Sample,Field,Biota,20MC,PFOA,20900,1080000,0.0198
Nebo Beetle C,Sample,Field,Biota,20MC,PFOA,54700,1280000,0.0845
Nebo boatmen 1,Sample,Field,Biota,20MC,PFOA,110000,1290000,0.1661
Nebo catfish 1,Sample,Field,Biota,20MC,PFOA,60600,1020000,1.7887
Nebo nymph other,Sample,Field,Biota,20MC,PFOA,67400,1150000,0.1419
Nebo catfish 2,Sample,Field,Biota,20MC,PFOA,62100,1020000,0.8903
Nebo catfish 3,Sample,Field,Biota,20MC,PFOA,70100,784000,1.0315
Nebo dragonfly nymph,Sample,Field,Biota,20MC,PFOA,55900,1110000,0.4087
0 ng/mL,Calibration curve,B,N/A,N/A,PFOA,0,1000000,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFOA,73900,1080000,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFOA,181000,881000,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFOA,242000,1090000,1
2.5 ng/mL,Calibration curve,B,N/A,N/A,PFOA,799000,1070000,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFOA,1690000,827000,1
25 ng/mL,Calibration curve,B,N/A,N/A,PFOA,3610000,667000,1
Water Nebo 2 (E),Sample,Field,Water,20MC,PFOA,0,937000,100
Water Nebo 5 (E),Sample,Field,Water,20MC,PFOA,0,1120000,100
Water Nebo Spike 2 (E),Spike,Field,Water,20MC,PFOA,2430000,879000,1
Water Nebo Spike 3 (E),Spike,Field,Water,20MC,PFOA,2260000,1010000,1
Niapenco Sediment 5 (E),Sample,Field,Sediment,NIA,PFOA,0,974000,5.8966
Niapenco Lab Blank (E),Blank,Lab,Sediment,NIA,PFOA,0,998000,1
Niapenco Field Blank (E),Blank,Field,Sediment,NIA,PFOA,0,842000,1
Niapenco Sediment 6 (E),Sample,Field,Sediment,NIA,PFOA,0,1280000,5.0275
Bio Niapenco Lab Blank (D),Blank,Field,Biota,NIA,PFOA,0,1520000,1
Bio Niapenco Slug (D),Sample,Field,Biota,NIA,PFOA,43400,1860000,0.071
Bio Niapenco Catfish 1 (D),Sample,Field,Biota,NIA,PFOA,8560,2050000,0.3824
Bio Niapenco Catfish 2 (D),Sample,Field,Biota,NIA,PFOA,38400,1350000,0.3916
Bio Niapenco Tadpole 1 (D),Sample,Field,Biota,NIA,PFOA,14800,2130000,0.6797
Bio Niapenco Tadpole 2 (D),Sample,Field,Biota,NIA,PFOA,14400,2150000,0.6595
Water Nebo Lab Blank (D),Blank,Lab,Water,20MC,PFOA,6130,1520000,1
Water Nebo Field Blank 1 (D),Blank,Field,Water,20MC,PFOA,7230,1540000,1
Water Nebo Field Blank 2 (D),Blank,Field,Water,20MC,PFOA,11900,1380000,1
Sediment Niapenco Lab Blank (D),Blank,Lab,Sediment,NIA,PFOA,0,924000,1
Sediment Niapenco Field Blank 1 (D),Blank,Field,Sediment,NIA,PFOA,0,841000,1
Sediment Niapenco 1 (D),Sample,Field,Sediment,NIA,PFOA,0,923000,5.8357
Sediment Niapenco 2 (D) ,Sample,Field,Sediment,NIA,PFOA,0,1100000,5.0227
Niapenco bug 3 (E),Sample,Field,Biota,NIA,PFOA,50700,2260000,1.0693
Niapenco shrimp 2 (E),Sample,Field,Biota,NIA,PFOA,88900,975000,1.0486
Niapenco bug 1 (E),Sample,Field,Biota,NIA,PFOA,107000,1450000,1.0788
Niapenco bug 2 (E),Sample,Field,Biota,NIA,PFOA,95000,1100000,1.3479
Niapenco fish 3 (E),Sample,Field,Biota,NIA,PFOA,51000,1110000,0.9073
Niapenco fish 2 (E),Sample,Field,Biota,NIA,PFOA,81700,1050000,0.9693
Niapenco shrimp 1 (E),Sample,Field,Biota,NIA,PFOA,53700,1510000,1.0392
Niapenco fish 1 (E),Sample,Field,Biota,NIA,PFOA,67300,1030000,1.2625
Niapenco nymph 1 (F),Sample,Field,Biota,NIA,PFOA,82000,1240000,0.2044
Niapenco bass 1 (F),Sample,Field,Biota,NIA,PFOA,76500,653000,0.986
Niapenco shrimp 3 (F),Sample,Field,Biota,NIA,PFOA,58300,868000,1.0196
Niapenco bass 2 (F),Sample,Field,Biota,NIA,PFOA,60400,800000,1.0479
niapenco nymph 2 (F),Sample,Field,Biota,NIA,PFOA,99400,823000,0.4954
Niapenco bass 3 (F),Sample,Field,Biota,NIA,PFOA,128000,596000,1.014
0 ng/mL,Calibration curve,A,N/A,N/A,PFNA,0,788000,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFNA,21400,773000,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFNA,83600,948000,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFNA,213000,860000,1
2.5 ng/mL,Calibration curve,A,N/A,N/A,PFNA,493000,838000,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFNA,1570000,921000,1
25 ng/mL,Calibration curve,A,N/A,N/A,PFNA,2920000,663000,1
Nedo SED 6,Sample,Field,Sediment,20MC,PFNA,0,1250000,5.4135
NEBO Sed 5,Sample,Field,Sediment,20MC,PFNA,0,1080000,5.2932
NEBO Sed Field Blank,Blank,Field,Sediment,20MC,PFNA,0,821000,1
NEBO Sed Lab Blank,Blank,Lab,Sediment,20MC,PFNA,0,1030000,1
DI H2O Nianp blank lab 1,Blank,Lab,Water,NIA,PFNA,0,1010000,1
NEBO Water 1,Sample,Field,Water,20MC,PFNA,0,1420000,100
Niap water 3,Sample,Field,Water,NIA,PFNA,14600,1050000,100
Niap water 6,Sample,Field,Water,NIA,PFNA,15800,1100000,100
Ni H2O Spike 1 ,Spike,Field,Water,NIA,PFNA,2040000,1040000,1
Ni H2O 5,Sample,Field,Water,NIA,PFNA,0,1030000,100
Ni H2O lab blank 2,Blank,Lab,Water,NIA,PFNA,0,1350000,1
Ne H2O 3 ,Sample,Field,Water,20MC,PFNA,0,1190000,100
Ne Dam Fly,Sample,Field,Biota,20MC,PFNA,13300,1580000,0.2822
Ne Boat,Sample,Field,Biota,20MC,PFNA,43200,1420000,0.1503
Ne Nymph,Sample,Field,Biota,20MC,PFNA,3580,1930000,0.0158
Biological Lab Blan,Blank,Field,Biota,20MC,PFNA,0,1270000,1
Nebo Sed. 2,Sample,Field,Sediment,20MC,PFNA,0,1380000,5.1364
Sand Lab Blank,Blank,Lab,Sediment,20MC,PFNA,0,1220000,1
Nebo Sed 1,Sample,Field,Sediment,20MC,PFNA,0,1110000,5.2524
Nebo Field Blank 1,Blank,Field,Sediment,20MC,PFNA,0,1290000,1
Niapenco Water Field Blank 1,Blank,Field,Water,NIA,PFNA,0,1250000,1
Niapenco Water 2,Sample,Field,Water,NIA,PFNA,0,1370000,100
Nebo Water 6,Sample,Field,Water,20MC,PFNA,0,1130000,100
Niapenco Water 4,Sample,Field,Water,NIA,PFNA,0,1260000,100
Nebo Sed 3,Sample,Field,Sediment,20MC,PFNA,0,911000,5.0345
Nebo Sed 4,Sample,Field,Sediment,20MC,PFNA,0,1140000,5.2308
Nebo Sed Lab Blank,Blank,Lab,Sediment,20MC,PFNA,0,800000,1
Nebo Sed Field Blank,Blank,Field,Sediment,20MC,PFNA,0,708000,1
Nebo Sucker 1C,Sample,Field,Biota,20MC,PFNA,6630,742000,0.7998
Nebo Sucker 2 C,Sample,Field,Biota,20MC,PFNA,5840,594000,1.0383
Nebo Sucker 3 C,Sample,Field,Biota,20MC,PFNA,3930,255000,1.4575
Nebo Arthropods C,Sample,Field,Biota,20MC,PFNA,2560,1100000,0.0198
Nebo Beetle C,Sample,Field,Biota,20MC,PFNA,3800,1080000,0.0845
Nebo boatmen 1,Sample,Field,Biota,20MC,PFNA,53000,1170000,0.1661
Nebo catfish 1,Sample,Field,Biota,20MC,PFNA,12700,1010000,1.7887
Nebo nymph other,Sample,Field,Biota,20MC,PFNA,9430,1380000,0.1419
Nebo catfish 2,Sample,Field,Biota,20MC,PFNA,14500,1160000,0.8903
Nebo catfish 3,Sample,Field,Biota,20MC,PFNA,11300,946000,1.0315
Nebo dragonfly nymph,Sample,Field,Biota,20MC,PFNA,15000,1100000,0.4087
0 ng/mL,Calibration curve,B,N/A,N/A,PFNA,0,1150000,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFNA,65400,1170000,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFNA,138000,1050000,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFNA,258000,1280000,1
2.5 ng/mL,Calibration curve,B,N/A,N/A,PFNA,476000,1550000,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFNA,1430000,889000,1
25 ng/mL,Calibration curve,B,N/A,N/A,PFNA,2390000,703000,1
Water Nebo 2 (E),Sample,Field,Water,20MC,PFNA,0,1320000,100
Water Nebo 5 (E),Sample,Field,Water,20MC,PFNA,0,1270000,100
Water Nebo Spike 2 (E),Spike,Field,Water,20MC,PFNA,1790000,1040000,1
Water Nebo Spike 3 (E),Spike,Field,Water,20MC,PFNA,1890000,995000,1
Niapenco Sediment 5 (E),Sample,Field,Sediment,NIA,PFNA,0,819000,5.8966
Niapenco Lab Blank (E),Blank,Lab,Sediment,NIA,PFNA,0,1130000,1
Niapenco Field Blank (E),Blank,Field,Sediment,NIA,PFNA,0,1190000,1
Niapenco Sediment 6 (E),Sample,Field,Sediment,NIA,PFNA,0,1050000,5.0275
Bio Niapenco Lab Blank (D),Blank,Field,Biota,NIA,PFNA,0,1780000,1
Bio Niapenco Slug (D),Sample,Field,Biota,NIA,PFNA,5130,1940000,0.071
